date,time,BOROUGH,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,#_persons_injured,#_persons_killed,#_pedestrians_injured,#_pedestrians_killed,#_cyclist_injured,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/15/2016,0:30,MANHATTAN,10003.0,40.73527,-73.98234599999999,"(40.73527, -73.982346)",,,300       EAST 19 STREET                ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3406829,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/25/2013,13:40,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2879485,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
09/15/2012,23:10,QUEENS,11418,40.6958225,-73.8211022,"(40.6958225, -73.8211022)",ATLANTIC AVENUE                 ,127 STREET                      ,,0.0,0.0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,204319,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2018,10:00,,,40.699017,-73.80696,"(40.699017, -73.80696)",SUTPHIN BOULEVARD               ,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3862996,PASSENGER VEHICLE,BU,,,
06/06/2018,19:45,BRONX,10454.0,40.80777,-73.91023,"(40.80777, -73.91023)",CONCORD AVENUE                  ,EAST 142 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3915520,Carry All,Sedan,,,
04/02/2017,0:07,QUEENS,11237.0,40.70738,-73.91849,"(40.70738, -73.91849)",CYPRESS AVENUE                  ,SUYDAM STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3643223,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2017,3:35,,,40.846090000000004,-73.94475600000001,"(40.84609, -73.944756)",HENRY HUDSON PARKWAY            ,,,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,,,,,3819338,PASSENGER VEHICLE,,,,
10/28/2014,10:47,QUEENS,11358,40.7555677,-73.7917087,"(40.7555677, -73.7917087)",189 STREET                      ,45 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,2815407,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/29/2015,11:54,MANHATTAN,10038.0,40.7137146,-73.9980197,"(40.7137146, -73.9980197)",EAST BROADWAY                   ,CHATHAM SQUARE                  ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3248713,BUS,SMALL COM VEH(4 TIRES) ,,,
02/22/2017,13:30,BROOKLYN,11236.0,40.653290000000005,-73.91919,"(40.65329, -73.91919)",CHURCH AVENUE                   ,EAST 91 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3622172,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/26/2015,9:25,,,40.7496109,-73.9668263,"(40.7496109, -73.9668263)",,,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3209228,TAXI,PASSENGER VEHICLE,,,
07/28/2012,1:38,MANHATTAN,10002,40.7185558,-73.9882,"(40.7185558, -73.9882)",DELANCEY STREET                 ,ESSEX STREET                    ,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,12283,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
