HOUR_I_R,ALCHL_I,ALIGN_I,STRATUM_R,WRK_ZONE,WKDY_I_R,INT_HWY,LGTCON_I_R,MANCOL_I_R,PED_ACC_R,RELJCT_I_R,REL_RWY_R,PROFIL_I_R,SPD_LIM,SUR_COND,TRAF_CON_R,TRAF_WAY,VEH_INVL,WEATHER_R,injury_crash,NO_INJ_I,PRPTYDMG_CRASH,fatalities,MAX_SEV_IR
0,2,2,1,0,1,0,3,0,0,1,0,1,40,4,0,3,1,1,1,1,0,0,1
1,2,1,0,0,1,1,3,2,0,1,1,1,70,4,0,3,2,2,0,0,1,0,0
1,2,1,0,0,1,0,3,2,0,1,1,1,35,4,1,2,2,2,0,0,1,0,0
1,2,1,1,0,0,0,3,2,0,1,1,1,35,4,1,2,2,1,0,0,1,0,0
1,1,1,0,0,1,0,3,2,0,0,1,1,25,4,0,2,3,1,0,0,1,0,0
1,2,1,1,0,1,0,3,0,0,1,0,1,70,4,0,2,1,2,1,1,0,0,1
1,2,1,0,0,1,1,3,0,0,0,0,1,70,4,0,2,1,2,0,0,1,0,0
1,2,1,1,0,1,0,3,0,0,0,0,1,35,4,0,1,1,1,1,1,0,0,1
1,2,1,1,0,1,0,3,0,0,1,0,1,30,4,0,1,1,2,0,0,1,0,0
0,2,1,0,0,0,0,3,0,0,1,0,1,25,4,0,1,1,2,0,0,1,0,0
1,2,1,0,0,1,0,3,0,0,0,0,1,55,4,0,1,1,2,0,0,1,0,0
1,2,1,1,0,1,0,3,2,0,0,1,1,40,4,2,1,2,1,0,0,1,0,0
1,2,1,1,0,1,0,3,1,0,0,1,1,40,4,0,1,4,1,1,2,0,0,1
1,2,2,0,0,1,0,3,0,0,0,0,1,25,4,0,1,1,1,0,0,1,0,0
1,2,2,1,0,1,0,3,0,0,0,0,1,35,4,0,1,1,1,1,1,0,0,1
1,2,2,1,0,1,0,3,0,0,0,0,1,45,4,0,1,1,1,1,1,0,0,1
1,2,1,1,0,1,0,3,0,0,0,0,1,20,4,0,1,1,2,0,0,1,0,0
1,2,1,1,0,0,0,3,0,0,0,0,1,50,4,0,1,1,2,0,0,1,0,0
1,2,1,1,0,1,0,3,0,0,0,0,1,55,4,0,1,1,2,0,0,1,0,0
1,2,1,0,0,1,0,3,0,0,1,1,1,55,4,0,1,1,2,0,0,1,0,0
1,2,1,1,0,1,0,3,0,0,1,0,0,45,4,0,3,1,1,1,1,0,0,1
1,2,2,0,0,1,0,3,0,0,1,0,0,65,4,0,3,1,1,0,0,1,0,0
1,2,1,0,0,1,0,3,0,0,0,0,0,65,4,2,2,1,2,1,2,0,0,1
1,2,1,1,0,1,9,3,2,0,1,1,0,55,4,0,2,2,2,1,1,0,0,1
1,2,1,1,0,1,1,3,0,0,1,0,0,70,4,0,2,1,1,0,0,1,0,0
1,2,1,0,0,1,0,3,2,0,0,1,0,55,4,0,2,3,2,0,0,1,0,0
1,2,1,0,0,0,1,3,0,0,0,0,0,55,4,0,2,1,2,0,0,1,0,0
1,2,2,1,0,1,1,3,0,0,0,0,0,55,4,0,2,1,2,0,0,1,0,0
1,2,1,1,0,1,1,3,0,0,0,0,0,70,4,0,2,1,2,0,0,1,0,0
1,2,1,0,0,0,1,3,2,0,0,1,0,55,4,0,2,2,1,0,0,1,0,0
1,2,1,1,0,1,1,3,2,0,0,1,0,65,4,0,2,3,1,0,0,1,0,0
1,2,1,0,0,1,1,3,0,0,0,0,0,55,4,0,2,2,1,1,1,0,0,1
