s_code,s_city,e_code,e_city,coupon,new,vacation,SW,HI,s_income,e_income,s_pop,e_pop,slot,gate,distance,PAX,fare
*,Dallas/Fort Worth   TX,*,Amarillo            TX,1,3,No,Yes,5291.99,28637.00,21112.00,3036732,205711,Free,Free,312,7864,64.11
*,Atlanta             GA,*,Baltimore/Wash Intl MD,1.06,3,No,No,5419.16,26993.00,29838.00,3532657,7145897,Free,Free,576,8820,174.47
*,Boston              MA,*,Baltimore/Wash Intl MD,1.06,3,No,No,9185.28,30124.00,29838.00,5787293,7145897,Free,Free,364,6452,207.76
ORD,Chicago             IL,*,Baltimore/Wash Intl MD,1.06,3,No,Yes,2657.35,29260.00,29838.00,7830332,7145897,Controlled,Free,612,25144,85.47
MDW,Chicago             IL,*,Baltimore/Wash Intl MD,1.06,3,No,Yes,2657.35,29260.00,29838.00,7830332,7145897,Free,Free,612,25144,85.47
*,Cleveland           OH,*,Baltimore/Wash Intl MD,1.01,3,No,Yes,3408.11,26046.00,29838.00,2230955,7145897,Free,Free,309,13386,56.76
*,Dallas/Fort Worth   TX,*,Baltimore/Wash Intl MD,1.28,3,No,No,6754.48,28637.00,29838.00,3036732,7145897,Free,Free,1220,4625,228.00
*,Fort Lauderdale     FL,*,Baltimore/Wash Intl MD,1.15,3,Yes,Yes,5584,26752.00,29838.00,1440377,7145897,Free,Free,921,5512,116.54
*,Houston             TX,*,Baltimore/Wash Intl MD,1.33,3,No,Yes,4662.44,27211.00,29838.00,3770125,7145897,Free,Free,1249,7811,172.63
*,Kansas City         MO,*,Baltimore/Wash Intl MD,1.6,2,No,Yes,2617,25450.00,29838.00,1694803,7145897,Free,Free,964,4657,114.76
*,Las Vegas           NV,*,Baltimore/Wash Intl MD,1.57,3,Yes,Yes,1772.59,24575.00,29838.00,1197234,7145897,Free,Free,2104,4489,158.20
*,Los Angeles         CA,*,Baltimore/Wash Intl MD,1.5,1,No,Yes,3932.29,24706.00,29838.00,9056076,7145897,Free,Free,2329,7349,228.99
*,Nashville           TN,*,Baltimore/Wash Intl MD,1.12,3,No,Yes,4471.62,25995.00,29838.00,1115048,7145897,Free,Free,587,5654,79.17
*,New Orleans         LA,*,Baltimore/Wash Intl MD,1.29,3,No,Yes,4356.12,22038.00,29838.00,1308499,7145897,Free,Free,992,3525,132.05
JFK,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.9,32991.00,29838.00,8621121,7145897,Controlled,Free,181,7171,117.23
LGA,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.9,32991.00,29838.00,8621121,7145897,Controlled,Free,181,7171,117.23
EWR,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.9,32991.00,29838.00,8621121,7145897,Free,Constrained,181,7171,117.23
*,Orlando             FL,*,Baltimore/Wash Intl MD,1.13,3,Yes,Yes,5706.76,22360.00,29838.00,1421287,7145897,Free,Free,788,11013,106.11
*,Phoenix             AZ,*,Baltimore/Wash Intl MD,1.86,3,No,Yes,1230.48,23025.00,29838.00,2753373,7145897,Free,Free,2001,4408,181.16
*,Salt Lake City      UT,*,Baltimore/Wash Intl MD,1.93,3,No,Yes,2000.67,21121.00,29838.00,1228816,7145897,Free,Free,1866,2767,157.50
*,San Diego           CA,*,Baltimore/Wash Intl MD,1.87,3,No,Yes,1572.93,23903.00,29838.00,2673620,7145897,Free,Free,2290,3170,200.20
*,San Francisco       CA,*,Baltimore/Wash Intl MD,1.52,3,No,No,2967.59,38813.00,29838.00,1653017,7145897,Free,Free,2454,6417,246.85
*,St Louis            MO,*,Baltimore/Wash Intl MD,1.14,3,No,Yes,4191.24,25824.00,29838.00,2549844,7145897,Free,Free,729,10264,99.70
*,Tampa               FL,*,Baltimore/Wash Intl MD,1.13,3,Yes,Yes,5201.34,23654.00,29838.00,2195215,7145897,Free,Free,846,7082,106.77
ORD,Chicago             IL,*,Birmingham          AL,1.16,3,No,Yes,3627.46,29260.00,23858.00,7830332,895414,Controlled,Free,576,4138,113.50
MDW,Chicago             IL,*,Birmingham          AL,1.16,3,No,Yes,3627.46,29260.00,23858.00,7830332,895414,Free,Free,576,4138,113.50
*,Seattle/Tacoma      WA,*,Boise               ID,1.07,3,No,Yes,5255.24,30916.00,23901.00,2230831,372606,Free,Free,403,5995,69.12
