NO,D,YR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
1,0,78,0.23,0.08,0.02,0.03,0.46,0.12,0.19,10.36,1.17,0.4,0.1,0.14,0.13,0.03,0.05,0.57,0.15,0.23,3.56,0.26,1.55,0.43,0.11,0.17
2,0,77,0.19,0.07,0.09,0.12,0.02,0.02,0.03,3.13,1.73,0.6,0.78,0.63,0.05,0.06,0.09,0.12,0.16,0.22,3.78,1.29,1.4,0.06,0.07,0.1
3,0,72,0.07,0.02,0.03,0.05,0.06,0.1,0.14,2.41,1.36,0.41,0.66,0.7,-0.01,-0.02,-0.03,0.02,0.02,0.04,13.29,1.61,1.43,0.03,0.05,0.07
4,0,80,0.07,0.03,0.04,0.04,0.04,0.06,0.06,5.55,1.13,0.44,0.58,0.57,-0.02,-0.02,-0.02,0.01,0.02,0.02,5.36,1.3,1.12,-0.06,-0.08,-0.09
5,0,81,0.09,0.02,0.03,0.04,0.06,0.08,0.11,2.85,1.88,0.42,0.62,0.46,0.01,0.02,0.02,0.07,0.1,0.14,7.74,1.48,1.41,0.03,0.04,0.06
6,0,70,0.24,0.07,0.14,0.22,0.1,0.18,0.29,2.34,1.37,0.43,0.79,0.92,0.03,0.06,0.1,0.06,0.11,0.18,9.82,1.82,1.6,0.06,0.11,0.18
7,0,76,0.08,0.04,0.02,0.03,0.3,0.13,0.21,3.72,0.82,0.42,0.18,0.36,0.03,0.01,0.02,0.15,0.06,0.1,5.98,0.42,1.67,0.12,0.05,0.09
8,0,77,0.1,0.02,0.02,0.04,-0.05,-0.06,-0.09,8.91,1.17,0.24,0.27,0.37,-0.07,-0.07,-0.12,-0.04,-0.05,-0.08,10.14,1.15,1.6,-0.05,-0.06,-0.09
9,0,73,0.16,0.09,0.07,0.1,0.1,0.08,0.11,1.31,1.64,0.91,0.72,0.62,0.04,0.03,0.05,0.12,0.09,0.13,4.07,0.79,1.4,0.12,0.09,0.13
10,0,71,0.16,0.08,0.06,0.08,0.03,0.02,0.03,1.46,1.58,0.75,0.55,0.47,0.01,0.0,0.01,0.08,0.06,0.08,4.39,0.74,1.35,0.09,0.06,0.09
11,0,78,0.1,0.04,0.07,0.07,0.02,0.04,0.04,5.88,0.83,0.32,0.57,0.72,-0.04,-0.07,-0.08,-0.04,-0.07,-0.07,7.75,1.81,1.05,-0.03,-0.05,-0.06
12,0,75,0.06,0.04,0.03,0.05,-0.11,-0.08,-0.13,0.84,1.73,1.15,0.89,0.79,0.09,0.07,0.11,0.24,0.19,0.29,2.85,0.78,1.53,0.11,0.09,0.13
13,0,81,0.32,0.1,0.14,0.21,-0.01,-0.02,-0.03,2.17,1.82,0.55,0.82,0.67,0.01,0.02,0.03,0.07,0.1,0.15,5.39,1.49,1.47,0.05,0.07,0.11
14,0,78,0.05,0.02,0.03,0.04,-0.01,-0.02,-0.02,2.45,1.3,0.64,0.77,0.81,-0.05,-0.06,-0.08,0.01,0.01,0.01,3.36,1.2,1.37,-0.02,-0.03,-0.04
15,0,70,0.18,0.07,0.12,0.14,-0.11,-0.17,-0.2,3.63,1.28,0.51,0.83,0.74,-0.17,-0.27,-0.31,-0.12,-0.2,-0.23,4.97,1.62,1.15,-0.13,-0.21,-0.24
16,0,74,0.07,0.01,0.02,0.02,-0.01,-0.02,-0.03,97.53,1.47,0.15,0.34,0.32,-0.03,-0.07,-0.09,0.0,0.0,-0.01,10.41,2.23,1.35,-0.03,-0.06,-0.08
17,0,72,0.17,0.02,0.08,0.1,0.01,0.03,0.04,4.09,1.72,0.25,0.76,0.57,-0.04,-0.11,-0.15,-0.03,-0.08,-0.11,25.24,3.04,1.29,-0.03,-0.1,-0.12
18,0,72,0.11,0.04,0.07,0.09,0.02,0.04,0.05,3.31,1.39,0.51,0.89,0.84,0.0,-0.01,-0.01,0.02,0.03,0.04,4.26,1.76,1.31,0.02,0.03,0.04
