day,number_of_vehicles
01 Nov 2003,103536
02 Nov 2003,92051
03 Nov 2003,100795
04 Nov 2003,102352
05 Nov 2003,106569
06 Nov 2003,106284
07 Nov 2003,113111
08 Nov 2003,96806
09 Nov 2003,86811
10 Nov 2003,99194
11 Nov 2003,102253
12 Nov 2003,105707
13 Nov 2003,107011
14 Nov 2003,113588
15 Nov 2003,97066
16 Nov 2003,83848
17 Nov 2003,99770
18 Nov 2003,102281
19 Nov 2003,104951
20 Nov 2003,108397
21 Nov 2003,115567
22 Nov 2003,99758
23 Nov 2003,88487
24 Nov 2003,102773
25 Nov 2003,107040
26 Nov 2003,108092
27 Nov 2003,109490
28 Nov 2003,115048
29 Nov 2003,101161
30 Nov 2003,90733
01 Dec 2003,101716
02 Dec 2003,102497
03 Dec 2003,108085
04 Dec 2003,108811
05 Dec 2003,113805
06 Dec 2003,94656
07 Dec 2003,85336
08 Dec 2003,104140
09 Dec 2003,105500
10 Dec 2003,106046
11 Dec 2003,111200
12 Dec 2003,114801
13 Dec 2003,97659
14 Dec 2003,85532
15 Dec 2003,102585
16 Dec 2003,103496
17 Dec 2003,110116
18 Dec 2003,110804
19 Dec 2003,115991
20 Dec 2003,98807
21 Dec 2003,78903
22 Dec 2003,95771
23 Dec 2003,94262
24 Dec 2003,85453
25 Dec 2003,79812
26 Dec 2003,79697
27 Dec 2003,88279
28 Dec 2003,73671
29 Dec 2003,85261
30 Dec 2003,84747
31 Dec 2003,69097
01 Jan 2004,53098
02 Jan 2004,62895
03 Jan 2004,86079
04 Jan 2004,70426
05 Jan 2004,85305
06 Jan 2004,88929
07 Jan 2004,93399
08 Jan 2004,94986
09 Jan 2004,103527
10 Jan 2004,89082
11 Jan 2004,74378
12 Jan 2004,93447
13 Jan 2004,96083
14 Jan 2004,101949
15 Jan 2004,101859
16 Jan 2004,107845
17 Jan 2004,88817
18 Jan 2004,75774
19 Jan 2004,97604
20 Jan 2004,94226
21 Jan 2004,102939
22 Jan 2004,105527
23 Jan 2004,113448
24 Jan 2004,95411
25 Jan 2004,76837
26 Jan 2004,91946
27 Jan 2004,85353
28 Jan 2004,91359
29 Jan 2004,86544
30 Jan 2004,105640
31 Jan 2004,92171
01 Feb 2004,80610
02 Feb 2004,94744
03 Feb 2004,96471
04 Feb 2004,100312
05 Feb 2004,101446
06 Feb 2004,110229
07 Feb 2004,93996
08 Feb 2004,71021
09 Feb 2004,93971
10 Feb 2004,97976
11 Feb 2004,97897
12 Feb 2004,102504
13 Feb 2004,109063
14 Feb 2004,94801
15 Feb 2004,80870
16 Feb 2004,97986
17 Feb 2004,102483
18 Feb 2004,102183
19 Feb 2004,106061
20 Feb 2004,115648
21 Feb 2004,102771
22 Feb 2004,84360
23 Feb 2004,88331
24 Feb 2004,94749
25 Feb 2004,104769
26 Feb 2004,103626
27 Feb 2004,115352
28 Feb 2004,106147
29 Feb 2004,87204
01 Mar 2004,101010
02 Mar 2004,99848
03 Mar 2004,106266
04 Mar 2004,108204
05 Mar 2004,114861
06 Mar 2004,107211
07 Mar 2004,88627
08 Mar 2004,101613
09 Mar 2004,104557
10 Mar 2004,106943
11 Mar 2004,107516
12 Mar 2004,118280
13 Mar 2004,104538
14 Mar 2004,87602
15 Mar 2004,100617
16 Mar 2004,104013
17 Mar 2004,109856
18 Mar 2004,108294
19 Mar 2004,115030
20 Mar 2004,103035
21 Mar 2004,88306
22 Mar 2004,101895
23 Mar 2004,104498
24 Mar 2004,106992
25 Mar 2004,110311
26 Mar 2004,119509
27 Mar 2004,107610
28 Mar 2004,93377
29 Mar 2004,106440
30 Mar 2004,107497
31 Mar 2004,112579
01 Apr 2004,112039
02 Apr 2004,118536
