member_id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,affluence_index,num_of_brands,brand_runs,total_volume,number_of_trans,value,trans_per_brand_runs,Vol/Tran,avg_price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010,4,3,10,1,4,4,2,4,1,2,3,17,8025,24,818.00,1.41,334.38,10.19,1,0,0,0.37694704,0.130841121,0,0,0,0,0,0,0.492211838,0.23364486,0.560747664,0.130841121,0.074766355,0.501557632,0,0,0,0,0,0,0.028037383,0,0.130841121,0.339563863
1010020,3,2,10,2,2,4,4,2,1,19,5,25,13975,40,1681.50,1.60,349.38,12.03,0.887298748,0.096601073,0.016100179,0.021466905,0.075134168,0,0,0,0.059033989,0,0.14490161,0.699463327,0.293381038,0.547406082,0.094812165,0.064400716,0.456171735,0.347048301,0.026833631,0.016100179,0.01431127,0,0.059033989,0,0,0.080500894,0
1014020,2,3,10,2,4,5,6,4,1,23,5,37,23100,63,1950.00,1.70,366.67,8.44,0.941558442,0.019480519,0.038961039,0.025974026,0.545454545,0,0.03030303,0,0,0,0.019480519,0.378787879,0.12012987,0.318181818,0.561688312,0,0.244588745,0.121212121,0.033549784,0.010822511,0.008658009,0,0,0.016233766,0,0.561688312,0.003246753
1014030,4,0,0,0,4,0,0,5,0,0,2,4,1500,4,114.00,1.00,375.00,7.60,1,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0.4,0.6,0,0.4,0,0,0,0,0,0,0,0,0.6,0
1014190,4,1,10,2,3,4,4,3,1,10,3,6,8300,13,591.00,2.17,638.46,7.12,0.614457831,0.144578313,0.240963855,0.048192771,0.144578313,0,0,0,0,0,0,0.807228916,0,0.048192771,0.144578313,0.807228916,0.807228916,0,0,0.048192771,0,0,0,0,0,0.144578313,0
1017020,4,3,10,2,3,4,5,2,1,13,3,26,18175,41,1705.50,1.58,443.29,9.38,1,0,0,0.077028886,0.066024759,0,0,0,0,0,0,0.856946355,0.215955983,0.449793673,0.066024759,0.268225585,0.4869326,0.099037139,0,0.006877579,0.071526823,0,0,0,0,0.066024759,0.2696011
1017110,4,2,10,2,4,1,3,2,1,11,4,17,9950,26,1007.50,1.53,382.69,10.13,0.977386935,0.022613065,0,0.452261307,0.045226131,0.007537688,0,0,0,0,0,0.494974874,0.067839196,0.658291457,0.045226131,0.228643216,0.82160804,0,0.022613065,0.007537688,0,0,0,0,0,0.045226131,0.103015075
1017160,4,3,10,2,2,4,5,3,0,0,3,8,9300,25,569.50,3.13,372.00,6.12,0.935483871,0,0.064516129,0.043010753,0.790322581,0,0,0,0,0,0,0.166666667,0.040322581,0.043010753,0.89516129,0.021505376,0.064516129,0,0,0,0,0,0,0.008064516,0,0.89516129,0.032258065
1017360,4,3,10,2,4,4,6,4,1,17,2,12,26490,27,3113.50,2.25,981.11,11.75,0.898074745,0.101925255,0,0.385050963,0,0,0,0,0,0,0,0.614949037,0.10815402,0.89184598,0,0,0.704605512,0.280294451,0,0,0.015100038,0,0,0,0,0,0
1017460,1,3,5,1,4,7,3,4,1,6,4,13,7455,18,990.50,1.38,414.17,13.29,1,0,0,0.067069081,0.120724346,0,0,0,0,0,0.402414487,0.409792086,0.613682093,0.097920858,0.120724346,0.167672703,0.238765929,0.46277666,0.150905433,0,0,0,0,0,0,0.120724346,0.026827632
1017490,4,3,10,2,4,4,6,4,1,30,4,24,16275,42,1555.50,1.75,387.50,9.56,0.817204301,0.173579109,0.00921659,0.024577573,0,0,0,0.004608295,0.02764977,0,0,0.943164363,0.244239631,0.153609831,0,0.602150538,0.786482335,0,0.119815668,0,0.036866359,0.006144393,0.02764977,0,0.004608295,0,0.01843318
1020070,3,3,10,2,1,4,5,4,1,18,4,21,13875,61,1547.75,2.90,227.46,11.15,0.989189189,0.010810811,0,0.340540541,0.075675676,0,0,0,0,0.064864865,0,0.518918919,0.407207207,0.517117117,0.075675676,0,0.441441441,0,0.421621622,0,0.043243243,0,0,0,0,0.075675676,0.018018018
1020210,4,3,17,2,3,3,4,3,2,8,3,9,20675,26,1538.00,2.89,795.19,7.44,1,0,0,0.030229746,0,0,0,0,0.014510278,0,0,0.955259976,0.056831923,0.033857316,0,0.909310762,0.978234583,0.007255139,0,0,0,0,0.014510278,0,0,0,0
1024050,4,3,17,2,3,3,6,4,1,10,4,10,15450,28,1275.50,2.80,551.79,8.26,1,0,0,0.368932039,0.32038835,0,0,0,0,0.090614887,0,0.220064725,0,0.491909385,0.32038835,0.187702265,0.588996764,0,0.090614887,0,0,0,0,0,0,0.32038835,0
1024100,3,1,13,2,4,3,6,4,1,15,2,8,9150,25,917.00,3.13,366.00,10.02,1,0,0,0.393442623,0,0,0,0,0,0,0,0.606557377,0.032786885,0.683060109,0.076502732,0.207650273,0.633879781,0,0.049180328,0,0,0,0,0,0,0.076502732,0.240437158
1024120,4,3,10,2,4,3,5,1,2,13,4,19,16050,50,1518.00,2.63,321.00,9.46,1,0,0,0.180685358,0.186915888,0,0,0,0,0.274143302,0,0.358255452,0.08411215,0.654205607,0.186915888,0.074766355,0.423676012,0.018691589,0.286604361,0,0.074766355,0,0,0.009345794,0,0.186915888,0
1024220,4,3,10,2,4,3,4,4,0,11,7,28,19150,38,1914.00,1.36,503.95,9.99,0.886422977,0.050913838,0.062663185,0.083550914,0.109660574,0.093994778,0.093994778,0,0,0.031331593,0.023498695,0.563968668,0.093994778,0.61618799,0.109660574,0.180156658,0.490861619,0.023498695,0.070496084,0.117493473,0.031331593,0,0,0,0,0.109660574,0.156657963
1024400,4,3,10,2,4,1,6,2,0,4,4,13,14625,31,1395.00,2.38,471.77,9.54,1,0,0,0.608547009,0.194871795,0,0,0,0.025641026,0,0,0.170940171,0.034188034,0.702564103,0.194871795,0.068376068,0.711111111,0.034188034,0,0,0.034188034,0,0.025641026,0,0,0.194871795,0
1024630,4,3,17,2,3,4,5,2,1,14,3,12,14400,21,1308.50,1.75,685.71,9.09,0.916666667,0.083333333,0,0.354166667,0.0625,0,0,0,0,0,0,0.583333333,0,0.538194444,0.0625,0.399305556,0.857638889,0.027777778,0,0.052083333,0,0,0,0,0,0.0625,0
1025070,3,0,0,0,2,0,0,5,0,0,2,4,675,4,123.50,1.00,168.75,18.30,0.333333333,0.666666667,0,0,0,0,0,0.111111111,0,0,0,0.888888889,1,0,0,0,0,0,0.222222222,0,0,0.333333333,0,0.333333333,0.111111111,0,0
1025140,4,0,0,0,2,0,0,5,0,0,2,4,6400,8,368.00,2.00,800.00,5.75,0.578125,0,0.421875,0,0.9375,0,0,0,0,0,0,0.0625,0,0,0.9375,0.0625,0.0625,0,0,0,0,0,0,0,0,0.9375,0
1025210,2,3,17,2,2,5,5,2,1,4,3,3,7550,26,434.00,8.67,290.38,5.75,0.960264901,0,0.039735099,0.013245033,0.973509934,0,0,0,0,0,0,0.013245033,0,0.013245033,0.973509934,0.013245033,0.026490066,0,0,0,0,0,0,0,0,0.973509934,0
1027040,4,3,10,2,3,4,7,4,1,11,3,4,32000,27,1864.00,6.75,1185.19,5.83,0.94609375,0.00703125,0.046875,0,0.984375,0,0,0,0.00703125,0,0,0.00859375,0.00859375,0.00703125,0.984375,0,0.0046875,0,0,0,0,0.00390625,0.00703125,0,0,0.984375,0
1027160,3,0,0,0,3,0,0,5,0,0,3,3,1600,4,111.00,1.33,400.00,6.94,1,0,0,0.1875,0.75,0,0,0,0,0,0,0.0625,0.0625,0.1875,0.75,0,0.1875,0,0,0,0.0625,0,0,0,0,0.75,0
1027210,4,0,0,0,3,0,0,5,0,0,3,5,2825,5,300.00,1.00,565.00,10.62,1,0,0,0,0.530973451,0.318584071,0,0,0,0,0,0.150442478,0.150442478,0.318584071,0.530973451,0,0,0,0.079646018,0.318584071,0.07079646,0,0,0,0,0.530973451,0
1027390,3,3,10,2,3,5,4,3,0,18,3,41,16730,67,2156.00,1.63,249.70,12.89,0.973102212,0,0.026897788,0.155409444,0,0,0,0.026897788,0,0,0,0.817692767,0.444112373,0.34070532,0,0.215182307,0.412432756,0.037358039,0.10460251,0.268977884,0.035863718,0,0,0.035863718,0.026897788,0,0.078003586
1027480,4,1,4,2,4,4,7,4,0,9,2,3,10800,25,1141.00,8.33,432.00,10.56,1,0,0,0.888888889,0,0,0,0,0,0,0,0.111111111,0.018518519,0.981481481,0,0,0.981481481,0,0,0,0.018518519,0,0,0,0,0,0
1027540,3,3,10,2,2,3,2,4,1,11,2,16,12425,39,1322.50,2.44,318.59,10.64,0.993963783,0.006036217,0,0.676056338,0,0,0,0,0,0,0,0.323943662,0.154929577,0.804828974,0,0.040241449,0.845070423,0,0.012072435,0,0.136820926,0.006036217,0,0,0,0,0
1027580,4,3,10,2,2,4,6,3,1,13,3,13,10925,27,943.00,2.08,404.63,8.63,0.883295195,0.034324943,0.082379863,0.118993135,0,0,0,0,0,0.009153318,0,0.871853547,0,0.347826087,0,0.652173913,0.915331808,0,0.009153318,0.075514874,0,0,0,0,0,0,0
1027680,4,0,0,0,2,0,0,5,0,0,2,2,6050,8,381.50,4.00,756.25,6.31,1,0,0,0.132231405,0.867768595,0,0,0,0,0,0,0,0,0.132231405,0.867768595,0,0.132231405,0,0,0,0,0,0,0,0,0.867768595,0
1027720,4,1,10,2,4,4,4,2,2,4,2,2,15100,24,865.00,12.00,629.17,5.73,1,0,0,0,0.953642384,0,0,0,0,0,0,0.046357616,0,0,0.953642384,0.046357616,0.046357616,0,0,0,0,0,0,0,0,0.953642384,0
1027750,4,3,10,2,2,1,5,3,1,9,3,13,7475,15,734.50,1.15,498.33,9.83,0.929765886,0,0.070234114,0.040133779,0,0,0,0,0.080267559,0,0,0.879598662,0.274247492,0.27090301,0,0.454849498,0.638795987,0.060200669,0.140468227,0,0.013377926,0.066889632,0.080267559,0,0,0,0
1027810,4,0,0,0,2,0,0,5,0,0,2,2,1050,5,74.00,2.50,210.00,7.05,1,0,0,0.285714286,0.714285714,0,0,0,0,0,0,0,0,0.285714286,0.714285714,0,0.285714286,0,0,0,0,0,0,0,0,0.714285714,0
1027840,2,3,5,2,3,1,3,4,2,4,1,1,22050,23,1249.50,23.00,958.70,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1028020,4,3,16,2,2,4,5,2,0,5,2,3,18600,23,1046.00,7.67,808.70,5.62,0.951612903,0,0.048387097,0,0.935483871,0,0,0,0,0,0,0.064516129,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1028050,3,3,16,2,2,1,5,2,1,8,2,24,12475,40,1268.50,1.67,311.88,10.17,0.845691383,0.130260521,0.024048096,0,0.06012024,0,0,0,0,0,0,0.93987976,0.310621242,0.036072144,0.06012024,0.593186373,0.681362725,0.174348697,0.012024048,0.044088176,0.012024048,0,0,0,0,0.06012024,0.016032064
1028110,4,3,10,2,2,4,3,2,0,2,2,6,4800,24,360.50,4.00,200.00,7.51,0.958333333,0.041666667,0,0,0,0,0,0,0,0.083333333,0,0.916666667,0.041666667,0.083333333,0.041666667,0.833333333,0.833333333,0,0.083333333,0,0,0,0,0,0,0.041666667,0.041666667
1028230,4,2,10,2,4,3,4,2,1,10,2,6,10050,24,899.00,4.00,418.75,8.95,1,0,0,0,0.029850746,0,0,0,0,0,0,0.970149254,0,0,0.029850746,0.970149254,0.268656716,0,0,0.701492537,0,0,0,0,0,0.029850746,0
1030040,4,3,10,2,4,0,6,4,2,11,1,1,15000,23,850.00,23.00,652.17,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1030150,4,0,0,0,4,0,0,5,0,0,3,8,3325,8,278.50,1.00,415.63,8.38,1,0,0,0.338345865,0.541353383,0,0,0,0,0,0,0.120300752,0.067669173,0.390977444,0.541353383,0,0.338345865,0.120300752,0,0,0,0,0,0,0,0.541353383,0
1030200,3,1,4,2,4,1,4,4,2,13,2,11,10325,19,674.25,1.73,543.42,6.53,0.978208232,0.021791768,0,0,0.02905569,0,0,0,0,0,0,0.97094431,0.043583535,0.859564165,0.02905569,0.06779661,0.089588378,0.021791768,0.01937046,0,0,0,0,0,0,0.02905569,0.840193705
1030280,4,3,10,2,1,1,6,1,2,6,3,10,15400,38,990.00,3.80,405.26,6.43,1,0,0,0,0.876623377,0,0,0.019480519,0,0,0,0.103896104,0.034090909,0.058441558,0.902597403,0.00487013,0.058441558,0,0.008116883,0.00487013,0.006493506,0,0,0,0.019480519,0.902597403,0
1030300,2,3,16,2,4,1,9,4,1,14,3,6,23500,28,1585.00,4.67,839.29,6.74,0.923404255,0,0.076595745,0,0.893617021,0,0,0,0,0,0.038297872,0.068085106,0.080851064,0.025531915,0.893617021,0,0,0.063829787,0.019148936,0,0,0.019148936,0,0.004255319,0,0.893617021,0
1034020,4,0,0,0,2,0,0,5,0,0,1,1,900,5,51.00,5.00,180.00,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1034130,4,1,17,2,4,4,8,3,0,8,2,3,34200,24,2468.00,8.00,1425.00,7.22,1,0,0,0.01754386,0,0,0,0,0,0,0,0.98245614,0,0.01754386,0,0.98245614,1,0,0,0,0,0,0,0,0,0,0
1034220,3,3,10,2,4,4,4,4,1,11,5,7,9400,24,1119.50,3.43,391.67,11.91,0.95212766,0.04787234,0,0,0.079787234,0.04787234,0,0,0.670212766,0.021276596,0,0.180851064,0,0.877659574,0.122340426,0,0,0.106382979,0.053191489,0.04787234,0,0,0.670212766,0,0,0.122340426,0
1034350,4,0,0,0,3,0,0,5,0,0,3,7,3925,9,306.00,1.29,436.11,7.80,0.949044586,0.050955414,0,0.076433121,0.114649682,0,0,0,0,0,0,0.808917197,0.01910828,0.076433121,0.114649682,0.789808917,0.866242038,0,0,0,0,0,0,0.01910828,0,0.114649682,0
1035020,4,3,10,2,4,1,3,4,1,9,4,15,9800,23,941.00,1.53,426.09,9.60,1,0,0,0.137755102,0,0.022959184,0,0,0,0.540816327,0,0.298469388,0.06122449,0.734693878,0.020408163,0.183673469,0.362244898,0.007653061,0.540816327,0.068877551,0,0,0,0,0,0.020408163,0
1035100,4,0,0,0,3,0,0,5,0,0,1,1,4950,7,280.50,7.00,707.14,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1035150,3,1,4,2,4,7,9,2,1,37,5,25,19910,43,2865.50,1.72,463.02,14.39,0.962330487,0.007533903,0.03013561,0.120542441,0,0.011300854,0,0.022601708,0,0,0.067805123,0.777749874,0.622802612,0.377197388,0,0,0.134856856,0.214716223,0.195881467,0.20718232,0.005022602,0.022601708,0,0.033902562,0.022601708,0,0.163234555
1037050,4,3,10,2,4,1,5,1,2,10,3,4,21150,20,1326.00,5.00,1057.50,6.27,0.893617021,0,0.106382979,0,0.936170213,0.042553191,0,0,0,0,0,0.021276596,0,0.042553191,0.936170213,0.021276596,0.021276596,0,0,0.042553191,0,0,0,0,0,0.936170213,0
