customer_number,clothing_division,housewares_division,health_products_division,automotive_division,personal_electronics_division,computers_division,garden_division,novelty_gift_division,jewelry_division
11569,0,1,1,1,1,0,0,1,0
13714,0,1,1,1,1,0,1,1,1
46391,0,1,1,1,1,0,1,1,1
67264,0,0,1,1,1,0,1,1,0
67363,0,0,1,0,1,0,1,1,0
72553,0,1,1,1,1,0,1,1,1
79814,0,1,1,0,1,0,1,0,0
80903,0,1,1,0,1,0,0,1,0
91439,0,0,1,1,1,0,1,0,1
96701,0,1,1,1,1,0,1,1,1
98517,1,1,1,1,1,0,1,1,1
104356,0,0,1,0,1,0,1,1,0
132829,0,1,1,0,1,0,0,1,1
155424,0,1,1,0,1,1,1,1,1
163055,0,1,1,0,1,0,1,1,1
244756,0,0,1,1,1,0,1,0,0
261198,0,1,1,0,1,0,1,1,1
265041,0,1,1,0,1,0,0,1,0
277251,0,0,1,0,1,0,0,0,0
285023,0,0,1,1,1,0,1,0,1
298000,1,1,1,0,1,0,0,0,1
311985,0,1,1,0,1,0,1,1,1
339184,0,0,1,1,1,0,1,1,1
398537,0,1,1,1,1,0,1,1,1
422147,0,0,1,1,0,0,1,0,1
433649,0,0,1,1,1,0,1,1,1
435925,0,1,1,1,0,0,1,0,1
446385,0,1,1,1,1,0,1,1,1
469171,0,1,1,0,0,0,1,1,1
517763,0,0,1,1,1,0,1,1,1
521682,0,0,1,0,0,0,1,0,0
563619,0,1,1,0,1,1,1,1,1
584268,0,1,1,0,1,0,1,1,1
593244,0,0,1,0,1,0,0,0,0
603423,0,1,1,1,1,0,1,1,1
618611,0,0,1,0,1,0,0,0,0
645598,0,1,1,1,1,0,1,1,0
667402,0,1,1,0,1,0,1,1,1
681833,0,1,1,1,0,0,1,1,0
690370,0,1,1,1,0,0,0,0,1
728410,0,0,1,1,1,0,1,0,1
823534,0,1,1,0,1,0,0,0,0
884338,0,1,1,0,1,0,1,1,1
888917,0,1,1,1,1,0,1,1,1
1058254,0,1,1,1,1,0,1,1,1
1096445,0,0,1,0,1,0,1,0,0
1106608,0,0,1,0,0,0,1,0,0
1109370,0,1,1,1,1,0,1,1,1
1155423,0,0,1,1,1,0,0,0,1
1165232,0,0,1,0,1,0,0,0,0
1167576,0,0,1,1,1,0,1,0,1
1186659,0,1,1,0,0,0,0,0,1
1195551,0,1,1,0,1,0,1,1,1
1214907,0,1,1,0,1,0,1,1,0
1223494,0,1,1,0,1,0,0,1,1
1249291,0,1,1,1,1,0,1,1,1
1254143,0,0,1,0,1,0,1,0,0
1255629,0,1,1,0,1,0,1,1,0
1265271,0,0,1,1,1,0,1,1,0
1280031,0,1,1,1,0,0,0,0,1
1280346,0,1,1,0,1,0,0,0,1
1289008,0,0,1,0,1,0,1,0,0
1302041,0,1,1,0,1,0,1,0,1
1327097,0,1,1,0,1,0,0,0,1
1333608,0,1,1,0,1,0,0,1,1
1348291,0,1,1,0,1,0,1,1,1
1351832,0,0,1,0,1,0,0,0,0
1357185,0,0,1,0,1,0,0,0,0
1378728,0,1,1,0,1,0,1,1,1
1381482,0,0,1,0,1,0,0,0,0
1455039,0,0,1,1,1,0,1,1,1
1468222,1,1,1,1,1,0,1,1,1
1500636,0,1,1,1,1,0,1,1,0
1507847,0,0,1,0,1,0,0,0,0
1526847,0,1,1,0,0,0,1,0,0
1535376,0,1,1,1,1,0,1,1,0
1551084,0,0,1,1,0,0,1,0,1
1554062,0,0,1,0,1,0,0,0,0
1558139,0,1,1,0,1,1,0,0,1
1570191,0,0,1,0,1,0,0,0,1
1576248,0,0,1,0,1,0,0,1,1
1584572,0,0,1,0,1,0,0,0,1
1599695,0,0,1,1,1,0,1,1,1
1650878,0,0,1,0,1,0,1,0,0
1690197,0,0,1,0,1,0,1,1,0
1701937,0,1,1,1,1,0,0,1,1
1714054,0,1,1,1,1,0,1,1,1
1746288,0,0,1,1,1,0,1,0,1
1757137,0,1,1,0,1,0,1,0,0
1769066,0,1,1,0,1,0,0,1,0
1780089,0,0,1,1,1,0,1,1,0
1783414,0,1,1,1,1,0,1,0,1
1791474,0,1,1,0,1,0,1,1,1
1800580,0,0,1,0,0,0,0,0,0
1822238,0,0,1,1,0,0,1,0,0
1872142,0,0,1,0,1,0,0,0,1
1892447,0,1,1,0,1,0,0,0,1
1897800,0,1,1,1,0,1,0,0,1
1911478,0,1,1,1,1,0,0,0,1
1925395,0,1,1,0,1,0,1,0,1
1932144,0,1,1,0,1,0,0,0,1
1938083,0,0,1,0,1,0,1,0,0
1955871,0,1,1,0,1,0,1,1,0
1984749,0,1,1,0,1,0,1,0,1
1987668,0,1,1,0,1,1,1,1,1
2001709,0,1,1,0,1,0,1,1,0
2014306,0,0,1,0,0,0,0,0,0
2023851,0,0,1,0,1,0,1,0,1
2037810,0,0,1,1,0,0,0,0,0
2040822,0,1,1,1,1,0,1,0,1
2046035,0,1,1,0,1,0,1,1,0
2057768,0,1,1,1,1,0,1,1,1
2089084,0,1,1,0,0,0,0,0,1
2095594,0,1,1,0,1,0,1,1,0
2104024,0,1,1,1,1,0,1,0,1
2111920,0,1,1,0,0,0,0,0,0
2117562,0,0,1,0,0,0,1,0,1
2123909,0,1,1,0,1,0,0,1,1
2137149,0,0,1,0,0,0,0,1,0
2138121,0,1,1,0,0,0,1,0,1
2146140,0,1,1,0,1,1,0,0,1
2154623,0,1,1,0,0,0,1,1,0
2162345,0,0,1,0,0,0,1,0,0
2213890,0,0,1,0,1,0,0,0,1
2231264,0,1,1,0,0,0,1,0,0
2234193,0,1,1,1,1,0,1,0,1
2255990,0,0,1,0,0,0,1,0,0
2261014,0,0,1,0,0,0,1,1,1
2275097,0,1,1,0,1,0,0,1,1
2283372,0,1,1,0,0,0,1,1,1
2286797,0,1,1,1,1,0,1,0,1
2316545,0,0,1,1,1,0,1,1,0
2330199,0,1,1,0,1,1,1,1,1
2377448,0,1,1,0,1,0,0,0,1
2389674,0,0,1,0,1,0,1,0,1
2397867,0,1,1,1,0,0,0,0,1
2413714,0,1,1,1,1,0,1,1,1
2449411,0,0,1,0,1,0,0,1,0
2475192,0,1,1,1,1,0,1,1,1
2477131,0,1,1,0,1,1,1,1,1
2486694,0,0,1,1,0,0,1,1,0
2509164,0,1,1,1,1,0,1,0,1
2512358,0,0,1,1,1,0,1,1,0
2522522,0,1,1,0,0,0,1,0,1
2552917,0,1,1,1,1,0,1,0,1
2587384,0,1,1,1,1,0,0,0,0
2594026,0,0,1,0,1,0,0,0,1
2601110,0,1,1,0,0,0,1,0,1
2606358,0,0,1,1,0,0,1,0,1
2623999,0,0,1,1,1,0,1,1,1
2639029,0,0,1,0,1,1,1,1,1
2641983,0,1,1,0,0,0,1,0,1
2643849,0,1,1,0,0,0,1,1,1
2663623,0,0,1,0,0,0,1,0,0
2668366,0,1,1,1,1,0,1,1,1
2679074,0,1,1,0,0,0,1,0,0
2679579,0,0,1,0,1,0,1,0,0
2680577,0,0,1,0,1,0,1,1,0
2692051,0,0,1,1,0,0,0,0,0
2712081,0,1,1,0,1,0,0,0,0
2720910,0,0,1,0,1,0,0,0,0
2731271,0,1,1,0,1,0,1,0,0
2733624,0,1,1,1,1,0,1,0,1
2763233,0,1,1,0,1,0,1,0,1
2778157,0,0,1,1,1,0,1,1,1
2789113,0,1,1,1,1,0,1,1,1
2797538,0,0,1,1,1,0,0,1,0
2816916,0,1,1,1,1,0,1,1,1
2831527,0,0,1,0,0,0,0,0,0
2838886,0,1,1,0,0,0,1,0,1
2844884,0,0,1,0,0,0,1,0,0
2851095,0,1,1,0,1,1,1,1,1
2860161,0,1,1,1,1,0,1,1,1
2882470,0,0,1,1,1,0,1,0,0
2885739,0,1,1,0,1,0,1,1,1
2889541,0,0,1,0,1,0,0,0,0
2896058,0,0,1,1,1,0,0,0,1
2934560,0,0,1,0,0,0,0,0,0
2939825,0,1,1,1,1,0,1,1,0
2951044,0,1,1,0,1,0,1,1,0
2956845,0,0,1,0,0,0,1,0,0
2974806,0,0,1,0,0,0,0,0,0
2994069,0,1,1,1,1,0,1,1,1
2999779,0,0,1,0,0,0,1,0,0
3011095,0,1,1,0,1,0,1,1,0
3027125,0,0,1,1,1,0,1,0,0
3062064,0,0,1,1,1,0,0,1,0
3070877,0,1,1,0,1,0,0,0,1
3080850,0,0,1,0,0,0,0,1,0
3085891,0,0,1,0,1,0,1,0,0
3093093,0,0,1,1,1,0,0,1,1
3106424,0,1,1,0,1,0,1,0,0
3131323,0,0,1,1,1,0,1,1,0
3139987,0,1,1,1,1,0,0,1,1
3149184,0,0,1,1,1,0,1,0,1
3157666,0,0,1,0,1,0,1,1,1
3159597,0,0,1,0,1,0,0,0,0
3177086,0,1,1,0,1,0,1,1,1
3181906,0,1,1,0,1,0,0,0,0
3183571,0,1,1,0,1,0,1,0,1
3191715,0,1,1,1,1,0,1,0,1
3197902,0,1,1,1,1,0,1,1,1
3206653,0,1,1,0,1,0,1,0,1
3230307,0,0,1,0,1,0,1,0,1
3235454,0,1,1,1,0,0,1,1,0
3239407,0,1,1,1,1,0,1,0,0
3254612,0,1,1,0,1,0,1,1,0
3258886,0,0,1,0,0,0,1,0,1
3263787,0,1,1,0,1,0,1,0,1
3266665,0,0,1,1,0,0,1,0,1
3283678,0,1,1,0,1,0,1,1,1
3288578,0,1,1,0,0,0,1,0,1
3300787,0,1,1,0,1,1,1,1,1
3305026,0,0,1,1,1,0,0,0,0
3311388,0,1,1,1,1,0,1,1,0
3336930,0,1,1,1,1,0,1,1,1
3339389,0,0,1,0,1,0,1,0,1
3339900,0,1,1,0,1,0,1,1,1
3353596,0,0,1,0,0,0,1,0,0
3355914,0,0,1,0,1,0,1,0,1
3368743,0,1,1,0,1,0,0,0,1
3378569,0,0,1,0,1,0,0,1,0
3388394,0,1,1,0,0,0,1,1,0
3399250,0,1,1,1,1,0,0,1,1
3423613,0,1,1,1,1,0,1,1,1
3438934,0,0,1,0,1,0,1,0,1
3467560,0,0,1,0,1,0,1,1,0
3481637,0,0,1,0,0,0,0,0,0
3491347,0,0,1,1,1,0,1,0,0
3509205,0,1,1,1,1,0,0,0,1
3511219,0,1,1,0,1,0,1,1,1
3527017,0,1,1,1,1,0,1,1,1
3528742,0,0,1,0,1,0,1,0,0
3538600,0,1,1,0,1,0,1,1,0
3549318,0,0,1,0,1,0,0,0,1
3549987,0,1,1,1,1,0,1,0,0
3557626,0,1,1,0,1,0,0,1,0
3573367,0,0,1,1,1,0,0,1,1
3594132,0,0,1,0,0,0,0,0,1
3616273,1,1,1,0,1,0,1,1,1
3616778,0,0,1,1,1,0,1,1,1
3626538,0,1,1,1,1,0,1,1,1
3643780,0,1,1,0,0,0,1,0,1
3648391,0,1,1,1,1,0,1,1,1
3655339,0,0,1,0,1,0,1,1,0
3679958,0,1,1,1,1,0,1,1,1
3697638,0,1,1,1,1,0,1,1,1
3702727,0,1,1,0,0,0,0,1,1
3740131,0,1,1,0,1,0,1,0,1
3748084,0,1,1,1,1,1,1,1,1
3765732,0,0,1,1,0,0,0,0,0
3787207,0,0,1,0,1,0,0,0,0
3805462,0,0,1,0,0,0,1,0,0
3806585,0,0,1,0,0,0,1,1,1
3807039,0,1,1,0,1,0,0,0,0
3811536,0,1,1,0,1,0,0,0,0
3818812,0,0,1,0,1,0,1,0,0
3819828,0,0,1,1,1,0,0,0,1
3823903,0,0,1,0,0,0,1,0,0
3825247,0,1,1,0,1,0,1,1,1
3833464,0,0,1,0,1,0,1,1,1
3851698,0,1,1,0,1,0,1,1,1
3877040,0,0,1,0,0,0,0,0,0
3884418,0,1,1,0,1,0,0,0,1
3890647,0,1,1,1,1,0,0,0,1
3908175,0,0,1,0,0,0,0,0,0
3911740,0,0,1,1,1,0,1,1,1
3931425,0,1,1,1,1,0,1,0,1
3932233,0,1,1,1,1,1,1,0,0
3948569,0,1,1,0,1,0,1,1,0
3956125,0,0,1,0,1,0,0,0,0
3957784,0,1,1,0,1,0,0,1,1
