Seq#,ID#,gender,M,R,F,first_purch,child_bks,youth_bks,cook_bks,DoItYBks,ref_bks,art_bks,geog_bks,ital_cook,ital_atlas,ital_art,florence,related_purchase,Mcode,Rcode,Fcode,yes_florence,no_florence
1,25,1,297,14,2,22,0,1,1,0,0,0,0,0,0,0,0,0,5,4,2,0,1
2,29,0,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1
3,46,1,138,22,7,56,2,1,2,0,1,0,1,1,0,0,0,2,4,4,3,0,1
4,47,1,228,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1
5,51,1,257,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
6,60,1,145,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1
7,61,1,190,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1,4,4,1,0,1
8,79,1,187,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1
9,81,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
10,90,1,240,6,3,20,0,0,1,0,0,0,0,0,0,0,0,0,5,2,3,0,1
11,95,1,275,2,4,20,0,0,1,0,0,0,0,0,0,0,0,0,5,1,3,0,1
12,100,0,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1,1,5,1,3,1,0
13,103,1,268,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1,1,0
14,112,0,135,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1
15,116,1,213,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
16,121,1,256,14,9,58,2,0,3,0,1,1,2,1,1,1,0,6,5,4,3,0,1
17,125,1,226,14,6,28,2,1,2,0,0,1,0,1,0,0,0,2,5,4,3,0,1
18,126,0,81,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,3,4,1,0,1
19,127,1,330,10,10,38,0,0,2,2,1,1,0,0,0,0,0,1,5,3,3,0,1
20,145,1,393,12,11,50,3,0,2,0,0,2,3,0,0,0,1,5,5,3,3,1,0
21,164,1,213,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1
22,169,1,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
23,193,1,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1
24,201,1,57,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1
25,202,0,260,34,11,74,0,2,3,5,0,1,0,0,0,0,0,1,5,4,3,0,1
26,208,1,32,26,2,32,1,0,0,0,0,0,1,0,0,0,0,1,2,4,2,0,1
27,214,0,177,24,1,24,0,0,0,0,0,1,0,0,0,0,0,1,4,4,1,0,1
28,224,1,33,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1
29,225,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,0,1
30,256,1,133,32,2,36,1,0,1,0,0,0,0,1,0,0,0,1,4,4,2,0,1
31,257,1,194,28,2,30,1,0,1,0,0,0,0,1,0,0,0,1,4,4,2,0,1
32,263,0,32,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1,2,4,1,0,1
33,265,1,352,12,11,66,4,1,3,1,0,1,0,2,0,1,0,4,5,3,3,0,1
34,266,1,319,12,8,32,2,1,1,1,0,0,1,0,0,0,0,1,5,3,3,0,1
35,267,1,242,10,5,32,0,0,2,0,1,1,0,0,0,0,0,1,5,3,3,0,1
36,275,1,78,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1
37,277,1,223,16,7,44,2,1,1,1,0,2,0,1,0,1,0,4,5,4,3,0,1
38,282,1,285,14,11,52,2,0,3,4,0,1,1,1,0,0,0,3,5,4,3,0,1
39,288,0,312,36,10,58,2,2,2,1,1,1,1,1,1,1,0,5,5,4,3,0,1
40,330,0,211,6,11,44,3,2,2,0,0,2,1,2,0,1,0,6,5,2,3,0,1
41,333,1,280,30,2,34,0,1,1,0,0,0,0,1,0,0,0,1,5,4,2,0,1
42,340,1,320,28,3,38,0,0,2,0,0,1,0,0,0,0,0,1,5,4,3,0,1
43,345,1,234,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
44,347,1,105,8,7,40,1,1,1,0,2,0,1,0,0,0,0,1,4,3,3,0,1
45,353,0,317,10,3,28,0,0,0,0,0,1,1,0,0,0,0,2,5,3,3,0,1
46,354,0,49,22,3,32,0,0,1,1,0,1,0,0,0,0,0,1,2,4,3,0,1
47,356,0,189,16,9,68,1,0,1,3,1,1,2,0,0,0,0,3,4,4,3,0,1
48,391,1,143,14,9,38,2,2,1,1,1,2,0,0,0,0,0,2,4,4,3,0,1
49,397,1,254,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
50,401,1,355,16,5,28,1,0,2,0,1,1,0,0,0,0,0,1,5,4,3,0,1
51,405,0,43,24,2,26,1,0,0,0,0,1,0,0,0,0,0,1,2,4,2,0,1
52,409,1,233,30,8,54,0,1,2,2,0,2,1,0,0,0,0,3,5,4,3,0,1
53,411,1,210,2,3,20,0,1,0,0,0,0,1,0,0,0,0,1,5,1,3,0,1
54,436,0,310,22,5,32,1,1,0,1,0,2,0,0,0,0,0,2,5,4,3,0,1
55,438,1,378,10,7,50,0,1,1,1,0,2,1,0,0,0,0,3,5,3,3,0,1
56,439,0,305,6,9,40,2,1,1,1,0,2,1,0,0,0,0,3,5,2,3,0,1
57,440,1,458,10,12,44,1,0,3,1,1,2,0,2,1,1,1,6,5,3,3,1,0
58,444,1,235,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1,5,4,1,0,1
59,450,1,148,22,3,30,1,0,2,0,0,0,0,0,0,0,0,0,4,4,3,0,1
60,453,1,154,10,7,46,0,1,0,1,0,1,3,0,0,0,1,4,4,3,3,1,0
61,477,0,123,12,2,16,1,0,0,0,0,0,0,0,0,0,1,0,4,3,2,1,0
62,480,1,118,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1
63,484,1,329,12,8,36,0,1,0,0,1,0,1,0,0,0,0,1,5,3,3,0,1
64,505,1,350,4,5,16,0,0,2,0,0,0,0,1,0,0,0,1,5,2,3,0,1
65,506,1,235,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
66,553,1,126,16,8,48,2,1,1,2,0,0,2,1,0,0,0,3,4,4,3,0,1
67,557,0,274,34,2,40,1,0,0,1,0,0,0,0,0,0,0,0,5,4,2,0,1
68,560,1,299,12,3,26,0,0,0,0,0,0,2,0,0,0,0,2,5,3,3,0,1
69,565,0,294,10,3,20,0,1,0,0,1,0,0,0,0,0,0,0,5,3,3,0,1
70,567,1,135,16,8,60,3,1,0,1,0,2,1,0,0,2,0,5,4,4,3,0,1
71,579,0,230,10,2,14,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
72,582,1,140,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,0
73,585,1,307,24,9,46,3,2,0,2,2,0,0,0,0,0,0,0,5,4,3,0,1
74,592,1,201,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
75,594,1,193,16,2,20,1,0,0,0,0,1,0,0,0,0,0,1,4,4,2,0,1
76,609,1,112,36,1,36,0,0,1,0,0,0,0,0,0,0,0,0,4,4,1,0,1
77,612,0,277,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
78,619,1,49,10,2,14,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,0,1
79,625,1,149,6,3,18,0,0,0,0,1,0,0,0,0,0,0,0,4,2,3,0,1
80,633,1,294,24,2,30,0,0,1,0,1,0,0,0,0,0,0,0,5,4,2,0,1
81,644,1,302,6,5,20,0,0,1,0,0,1,0,0,0,0,0,1,5,2,3,0,1
82,649,1,138,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1
83,650,1,195,12,2,16,0,0,0,0,1,0,0,0,0,0,0,0,4,3,2,0,1
