Trans. ,Bag,Blush,Nail Polish,Brushes,Concealer,Eyebrow Pencils,Bronzer,Lip liner,Mascara,Eye shadow,Foundation,Lip Gloss,Lipstick,Eyeliner
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,1,0,0
3,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,0,0,1,1,1,0,1,0,0,0,1,0,0,1
5,0,1,0,0,1,0,1,1,1,1,0,1,1,0
6,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,0,1,1,1,1,0,1,1,1,1,1,1,0,0
8,0,0,1,1,0,0,1,0,1,1,0,1,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
11,0,0,1,0,0,0,1,0,0,0,0,1,1,1
12,0,0,1,1,1,0,1,0,1,1,1,0,0,0
13,0,1,0,0,1,0,0,1,1,1,0,1,0,0
14,0,1,1,1,1,0,1,1,1,1,1,1,1,0
15,0,1,0,0,1,0,1,1,1,1,1,1,1,1
16,0,0,1,1,1,0,1,1,1,1,1,1,1,1
17,1,1,1,1,1,0,1,1,1,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,0,0,1,1,0,0,1,0
20,0,1,0,0,1,0,1,0,1,0,1,0,1,1
21,0,1,0,0,1,1,1,1,1,1,1,1,1,1
22,0,0,0,0,0,0,0,0,0,0,1,1,1,0
23,0,1,0,0,1,0,1,1,0,0,0,0,0,0
24,0,0,0,0,0,0,1,0,1,1,1,0,1,0
25,0,1,0,0,0,0,1,1,0,0,0,0,1,1
26,0,0,0,0,0,0,1,0,0,0,0,1,1,0
27,0,0,1,0,1,0,0,0,1,0,1,1,1,1
28,1,1,1,1,1,0,1,1,1,1,1,1,1,1
29,0,0,1,1,0,0,1,1,0,1,0,0,1,0
30,0,1,1,1,1,0,1,0,1,1,1,0,1,1
31,0,1,0,0,0,0,1,0,1,1,0,1,0,1
32,0,0,1,1,1,0,1,1,1,1,1,1,0,1
33,0,1,1,1,1,0,1,1,1,1,0,1,0,1
34,0,1,0,0,0,0,1,0,0,0,1,0,1,0
35,0,1,0,0,1,0,1,0,1,1,0,1,0,1
36,0,1,0,0,0,0,1,0,1,1,1,0,0,1
37,0,0,1,1,1,0,0,0,1,1,0,0,1,1
38,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,1,1,1,1,1,0,1,1,0,0,1,1,1,1
40,0,0,0,0,0,0,1,0,0,0,0,1,0,1
41,0,0,1,0,0,0,0,1,0,0,0,1,0,0
42,0,0,1,1,1,0,1,0,1,1,0,1,0,1
43,0,1,1,0,1,0,1,1,1,1,1,1,1,1
44,0,1,1,1,1,0,1,0,1,1,1,0,1,1
45,0,1,0,0,1,0,1,0,1,1,1,0,0,1
46,0,1,0,0,1,0,1,0,1,1,1,1,0,1
47,0,1,1,0,0,0,1,0,1,1,0,1,0,1
48,0,1,1,1,1,0,1,1,0,0,0,0,0,1
49,1,0,1,0,1,0,1,0,1,0,1,0,1,1
50,1,1,1,1,1,0,1,1,1,1,0,1,0,1
51,0,0,0,0,0,0,0,0,0,0,1,1,0,0
52,0,0,0,0,1,0,0,0,1,1,1,1,0,1
53,0,0,0,0,1,0,1,1,0,0,1,1,1,1
54,0,1,1,1,1,0,1,1,1,1,0,1,0,0
55,0,0,0,0,1,0,1,1,1,1,0,0,0,1
56,0,0,1,1,1,0,1,1,1,1,0,0,1,1
57,0,1,1,1,1,1,1,0,0,0,0,1,0,0
58,0,1,1,1,1,0,1,1,1,1,1,1,0,1
59,0,1,1,1,1,0,1,0,0,0,1,1,0,0
60,0,0,0,0,0,1,1,0,0,0,0,1,1,0
61,0,0,0,0,1,0,0,1,1,1,1,0,0,0
62,0,1,0,0,1,0,0,0,0,0,1,1,0,1
63,0,0,1,0,0,0,0,0,0,0,1,1,0,0
64,0,1,1,1,1,0,1,1,1,0,0,0,0,1
65,0,1,1,1,0,0,1,1,1,1,1,1,0,0
66,0,0,0,0,0,0,1,0,1,1,0,1,1,0
67,1,0,0,0,0,0,0,0,0,0,1,1,0,1
68,1,0,1,1,0,0,0,1,1,1,0,1,0,1
