ID#,Topflight,balance,qual_miles,cc1_miles?,cc2_miles?,cc3_miles?,bonus_miles,bonus_trans,flight_miles_12mo,flight_trans_12,online_12,email,club_member,Any_cc_miles_12mo,Phone_sale
1,0,28143,0,0,1,0,174,1,0,0,0,1,0,1,0
2,0,19244,0,0,0,0,215,2,0,0,0,0,0,0,0
3,0,41354,0,1,0,0,4123,4,0,0,0,1,0,1,0
4,0,14776,0,0,0,0,500,1,0,0,0,1,0,0,0
5,1,97752,0,1,0,0,43300,26,2077,4,0,1,0,1,0
6,0,16420,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,84914,0,1,0,0,27482,25,0,0,0,1,1,1,0
8,1,20856,0,0,0,0,5250,4,250,1,0,1,0,0,0
9,1,443003,0,1,1,0,1753,43,3850,12,0,1,0,1,0
10,1,104860,0,1,0,0,28426,28,1150,3,0,1,0,1,0
11,0,40091,0,1,0,0,7278,10,0,0,0,1,0,1,0
12,1,96522,0,1,0,0,61105,19,0,0,1,1,1,1,1
13,0,43382,0,1,0,0,11150,20,0,0,0,1,0,1,0
14,0,43097,0,0,1,0,3258,6,0,0,0,1,0,1,0
15,0,17648,0,0,0,0,0,0,0,0,0,1,0,0,0
16,0,28495,0,1,0,0,49442,15,0,0,0,1,1,1,0
17,0,51890,0,1,0,0,48963,16,0,0,0,1,0,1,0
18,0,13958,0,0,0,0,4291,5,0,0,0,1,0,0,0
19,1,91473,0,1,0,0,27408,17,0,0,0,1,0,1,0
20,0,23354,0,1,0,0,10447,5,0,0,0,1,0,1,0
21,1,120576,0,1,0,0,58831,23,250,2,0,1,0,1,1
22,1,185681,2024,0,0,0,13300,16,1800,9,0,1,0,0,0
23,0,20584,0,0,0,0,3450,11,3450,11,0,0,0,0,0
24,0,66275,0,0,0,0,2533,11,150,1,0,1,0,0,0
25,0,205651,500,0,0,0,4025,21,700,4,1,1,0,0,0
26,0,20726,0,0,0,0,1375,4,0,0,0,0,0,0,0
27,0,18521,0,0,0,0,1227,2,1227,2,0,0,0,0,0
28,0,8828,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,59763,0,1,0,0,33772,20,100,1,0,1,0,1,0
30,0,19221,0,0,0,0,4655,8,500,1,0,0,0,0,0
31,0,177926,0,1,0,0,20797,13,0,0,0,1,0,1,0
32,0,10021,0,0,0,0,0,0,0,0,0,0,0,0,1
33,0,276571,0,1,0,0,42044,23,0,0,0,1,0,1,0
34,0,18047,0,0,0,0,100,1,0,0,0,1,0,0,0
35,0,43832,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1,123759,0,1,0,0,50572,23,2500,5,0,1,1,1,1
37,0,23193,0,0,0,0,650,4,550,3,0,0,0,0,1
38,0,68666,0,0,0,0,350,2,350,2,0,0,1,0,0
39,1,59990,0,1,0,0,27878,17,0,0,0,1,1,1,0
40,0,2176,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,34616,0,0,0,0,1750,4,500,1,0,0,0,0,0
42,1,10470,0,1,0,0,38094,26,0,0,0,0,1,1,0
43,1,60313,0,0,0,0,10000,26,3250,9,0,1,0,0,0
44,0,619393,0,1,0,0,15008,14,0,0,0,1,0,1,0
45,0,121260,0,1,0,0,18493,18,0,0,0,1,0,1,0
46,1,288865,967,0,0,0,23600,14,2000,4,0,1,0,0,0
47,0,92336,0,1,0,0,11214,6,0,0,0,1,0,1,0
48,1,36924,0,0,0,0,5900,6,300,2,0,1,0,0,0
49,1,70312,0,1,0,0,34678,24,500,1,0,1,0,1,0
50,0,17051,0,0,0,0,1150,4,1150,4,0,1,0,0,0
51,0,108137,0,0,0,0,6368,5,6368,5,0,0,0,0,0
52,0,1300,0,0,0,0,370,1,0,0,0,0,0,0,0
53,0,118531,0,1,0,0,44577,38,0,0,0,0,0,1,1
54,1,121395,0,0,0,0,4970,8,650,2,2,1,0,0,0
55,0,38348,0,0,0,0,0,0,0,0,0,1,1,0,0
56,0,14448,0,0,0,0,1625,6,0,0,0,0,0,0,0
57,0,75971,0,1,0,0,34339,14,0,0,0,1,0,1,0
58,0,36298,0,0,0,0,3100,5,600,3,0,1,0,0,1
59,0,38077,0,1,0,0,34024,8,0,0,0,1,0,1,0
60,0,95118,0,1,0,0,23188,23,2200,7,0,0,0,1,0
61,0,134457,0,1,0,0,15588,14,0,0,0,1,0,1,0
62,0,19918,0,1,0,0,17601,11,0,0,0,1,0,1,0
63,0,10120,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,362642,0,1,0,0,28079,8,0,0,0,1,0,1,0
65,0,80250,0,0,0,0,895,2,0,0,0,1,0,0,0
66,1,53914,0,1,0,0,33767,45,5550,29,0,1,0,1,1
67,0,9375,0,0,0,0,1750,7,0,0,0,0,0,0,0
68,0,83237,0,1,0,0,35287,18,0,0,0,1,0,1,0
69,0,230715,0,1,0,0,24047,12,0,0,0,0,0,1,0
71,0,47457,0,1,0,0,12621,16,0,0,0,0,0,1,0
72,1,84409,5031,1,0,0,15436,16,1150,4,0,1,0,1,0
73,0,252386,0,1,0,0,39787,13,0,0,0,1,1,1,0
74,0,550367,0,1,0,0,12500,13,50,1,0,0,1,1,0
75,0,12646,0,0,0,0,631,4,631,4,0,0,0,0,0
76,0,123867,0,1,0,0,25308,17,0,0,0,1,0,1,0
78,0,129871,0,1,0,0,15776,22,0,0,0,0,0,1,0
79,1,109380,0,1,0,0,7537,16,0,0,0,1,1,1,0
80,0,111157,0,1,0,0,32883,19,0,0,0,0,0,1,0
81,0,49238,0,1,0,0,38037,18,0,0,0,0,0,1,0
82,0,38896,0,1,0,0,76988,16,556,1,0,1,0,1,0
83,0,4340,0,0,0,0,32685,5,0,0,0,0,0,0,0
84,0,88443,0,0,0,0,1200,3,1200,3,0,1,1,0,0
85,0,8454,0,0,1,0,498,9,0,0,0,1,0,1,1
86,0,61990,0,0,0,0,1625,6,0,0,0,1,0,0,0
87,0,24093,0,0,0,0,1750,7,0,0,0,0,1,0,0
88,0,35418,0,1,0,0,58557,18,900,3,0,1,0,1,0
89,0,40284,0,1,1,0,7719,5,0,0,0,0,0,1,0
90,1,609477,0,1,0,0,21422,22,1200,8,0,1,0,1,0
91,0,62553,0,1,0,0,7672,16,700,1,0,0,0,1,1
92,1,48433,0,0,0,0,3500,4,500,1,0,1,0,0,0
93,0,20508,0,0,0,0,22250,8,1250,5,0,1,0,0,0
94,0,2000,0,0,0,0,2000,4,2000,4,0,0,0,0,0
95,0,78629,0,1,0,0,36679,25,0,0,0,0,0,1,0
96,1,143566,0,0,0,0,5000,5,1500,3,0,1,0,0,0
97,1,185549,0,1,0,0,110859,39,2950,16,0,1,1,1,0
98,0,16796,0,0,0,0,2875,16,0,0,0,0,0,0,0
99,0,57346,0,1,0,0,5560,23,0,0,0,0,0,1,0
100,0,102062,0,1,0,0,44247,16,0,0,0,1,0,1,0
101,0,22324,0,0,0,0,1375,4,0,0,0,1,0,0,0
102,0,64824,0,1,0,0,20184,13,0,0,0,0,1,1,0
103,1,25076,1182,1,0,0,57203,14,0,0,0,1,1,1,1
104,0,8053,0,0,0,0,0,0,0,0,0,1,0,0,0
105,1,35119,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,28667,0,1,0,0,3861,7,2050,5,0,1,0,1,1
107,0,34327,0,0,0,0,0,0,0,0,0,1,0,0,0
108,1,3734,0,1,0,0,61096,18,150,2,0,1,0,1,1
109,1,96627,1182,0,0,1,49059,26,2300,9,1,1,0,1,1
110,0,43498,0,0,0,0,0,0,0,0,0,1,0,0,0
111,0,84674,0,1,0,0,46335,14,50,1,0,1,0,1,0
112,0,15098,0,1,0,0,32917,26,550,3,0,1,0,1,0
113,1,181019,0,1,0,0,18415,15,0,0,0,1,0,1,0
114,1,298911,0,0,0,0,8550,11,2550,8,0,1,1,0,0
115,0,124198,0,1,0,0,66330,23,4833,10,0,1,0,1,0
116,0,56906,0,1,0,0,2015,13,0,0,0,1,1,1,0
117,0,295638,0,1,0,0,5422,20,818,2,0,1,0,1,0
118,0,67018,0,1,0,0,23260,25,0,0,0,0,0,1,0
119,0,143967,0,1,0,0,7346,11,0,0,0,1,0,1,0
120,1,969559,0,0,0,0,2500,3,1000,2,0,0,1,0,1
121,0,122705,0,1,0,0,24222,15,0,0,0,0,0,1,1
122,0,16583,0,0,0,0,2625,7,0,0,0,1,0,0,0
123,0,77540,0,0,0,0,1000,1,0,0,0,1,0,0,0
124,1,205126,0,1,0,0,126630,45,2250,10,0,1,1,1,0
125,1,81974,0,1,0,0,37266,18,1050,3,0,1,0,1,0
126,0,47258,0,1,0,0,24768,19,0,0,0,0,1,1,0
127,0,77699,0,1,0,0,42775,13,0,0,0,0,0,1,0
128,1,133954,500,1,0,0,37670,18,1500,3,0,1,0,1,1
129,1,602064,0,1,0,0,194753,26,2250,10,0,1,0,1,0
130,1,213150,0,1,0,0,56308,41,5200,14,0,1,0,1,0
131,1,48333,0,1,0,0,10123,14,0,0,0,1,0,1,0
132,0,142175,0,1,0,0,37461,22,0,0,0,1,0,1,0
133,0,17469,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,19823,0,0,0,0,1095,3,335,1,0,0,1,0,1
135,1,145074,0,0,0,0,8000,4,0,0,0,1,1,0,0
136,1,101101,0,0,0,0,10850,11,1850,6,0,1,0,0,0
137,0,125948,0,1,0,0,15155,15,0,0,0,1,0,1,1
138,1,259484,1776,0,0,0,19172,26,7172,23,0,1,0,0,0
139,0,129298,0,1,0,0,29099,15,0,0,0,1,0,1,0
140,1,103302,0,1,0,0,53552,22,700,3,0,1,1,1,0
141,0,160447,0,1,0,0,8578,25,0,0,0,0,0,1,0
142,0,15472,0,0,0,0,3500,14,0,0,0,1,0,0,0
143,0,39628,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,6112,0,0,0,0,0,0,0,0,0,1,0,0,0
145,0,31769,0,0,0,0,450,2,450,2,0,1,0,0,0
146,0,126787,0,1,0,0,35021,17,0,0,0,1,0,1,0
147,0,41547,0,1,0,0,16857,17,0,0,0,1,0,1,0
148,1,100640,0,0,0,0,7600,8,1600,5,0,1,0,0,0
149,0,18707,0,0,0,0,100,1,0,0,0,0,0,0,0
150,0,50593,0,1,0,0,58208,17,1500,2,0,1,1,1,0
151,0,84631,0,1,0,0,20415,17,0,0,0,0,1,1,0
152,0,24868,0,0,0,0,205,5,0,0,0,1,0,0,0
153,0,77097,0,1,0,0,42403,22,1718,4,0,1,0,1,0
154,1,930410,0,1,0,0,211284,18,2250,6,0,1,1,1,0
155,0,298121,0,1,0,0,60808,20,500,1,0,1,0,1,0
156,0,87474,0,1,0,0,4581,15,0,0,0,0,0,1,0
157,1,48707,0,1,0,0,37655,14,0,0,0,1,0,1,0
158,1,220081,0,1,0,0,52574,21,500,1,0,1,0,1,0
159,0,212976,0,1,0,0,19926,12,0,0,0,0,1,1,0
160,0,44182,0,1,0,0,12313,12,0,0,0,1,0,1,0
161,1,228829,0,1,0,0,59852,21,0,0,0,1,0,1,0
