high_bid,seller_feedback,category,subcategory,brand
26,23,Business & Industrial,Microscopes,Bausch_and_Laumb_Microscope
56,488,Business & Industrial,Electric Drills,Dewalt_Cordless_Drill
38,53,Business & Industrial,Electric Drills,Dewalt_Cordless_Drill
51,3,Business & Industrial,Electric Drills,Dewalt_Cordless_Drill
54.5,36,Sports,Golf,Titleist_Golfballs
13.5,9,Sports,Golf,Titleist_Golfballs
36.88,252,Collectibles,Premium Pens,Cross_Pen
102.5,0,Sports,Golf,Ping_Golfbag
12.5,3652,Sports,Golf,Ping_Golfbag
127.5,2,Sports,Golf,Callaway_Golfbag
590,121,Sports,Golf,Titleist_Golfballs
91.5,302,Sports,Golf,Ping_Golfbag
44.03,7,Sports,Golf,Titleist_Golfballs
14.51,3079,Sports,Golf,Titleist_Golfballs
13.51,3079,Sports,Golf,Titleist_Golfballs
17.5,3079,Sports,Golf,Titleist_Golfballs
51,5,Sports,Golf,Ping_Golfbag
43,10,Sports,Golf,Titleist_Golfballs
52.01,11,Sports,Golf,Callaway_Golfballs
125,185,Sports,Golf,Ping_Golfbag
36,11,Sports,Golf,Callaway_Golfballs
118.5,147,Collectibles,Premium Pens,Waterman_Pen
23.51,101,Sports,Golf,Titleist_Golfballs
130.5,185,Sports,Golf,Ping_Golfbag
42,72,Sports,Golf,Titleist_Golfballs
31.01,2,Sports,Golf,Titleist_Golfballs
152.5,7,Sports,Golf,Titleist_Golfballs
41,63,Sports,Golf,Titleist_Golfballs
73,0,Sports,Golf,Callaway_Golfballs
40,3657,Health & Beauty,Men's electric shavers,Shaver
18.51,3657,Health & Beauty,Men's electric shavers,Shaver
96,555,Sports,Golf,Callaway_Golfballs
92.01,555,Sports,Golf,Callaway_Golfballs
82,289,Sports,Golf,Callaway_Golfbag
52.01,96,Sports,Golf,Callaway_Golfbag
15.5,234,Sports,Golf,Titleist_Golfballs
21,5,Sports,Golf,Callaway_Golfballs
56,95,Sports,Golf,Titleist_Golfballs
31,95,Sports,Golf,Titleist_Golfballs
