row_id,Row Id.,zip_convert_2,zip_convert_3,zip_convert_4,zip_convert_5,homeowner_dummy,#_children,income,gender_dummy,wealthy,hv,Icmed,Icavg,IC15,#_prom,RAMNTALL,MAXRAMNT,last_gift,total_months,time_lag,avg_gift,target_B,target_D
1,17,0,1,0,0,1,1,5,1,9,1399,637,703,1,74,102,6,5,29,3,4.857142857,1,5
2,25,1,0,0,0,1,1,1,0,7,698,422,463,4,46,94,12,12,34,6,9.4,1,10
3,29,0,0,0,1,0,2,5,1,8,828,358,376,13,32,30,10,5,29,7,4.285714286,1,5
4,38,0,0,0,1,1,1,3,0,4,1471,484,546,4,94,177,10,8,30,3,7.08,0,0
5,40,0,1,0,0,1,1,4,0,8,547,386,432,7,20,23,11,11,30,6,7.666666667,0,0
6,53,0,1,0,0,1,1,4,1,8,482,242,275,28,38,73,10,10,31,3,7.3,1,8
7,58,0,0,0,1,1,1,4,1,8,857,450,498,5,47,139,20,20,37,3,10.69230769,1,10
8,61,1,0,0,0,1,1,1,0,7,1355,411,497,9,77,249,15,7,35,3,9.576923077,1,20
9,71,0,0,1,0,1,1,4,0,5,505,333,388,16,51,63,15,10,37,8,9,1,5
10,87,1,0,0,0,1,1,4,1,8,1438,458,533,8,21,26,16,16,30,6,13,0,0
11,100,0,0,0,1,1,1,4,1,8,1316,541,575,11,66,108,12,7,31,1,6,1,7
12,104,1,0,0,0,1,1,1,1,5,428,203,271,39,73,161,6,3,32,7,3.659090909,1,3
13,121,0,0,1,0,1,1,4,1,5,629,434,472,6,59,84,5,3,30,12,3.652173913,0,0
14,142,1,0,0,0,0,1,5,0,8,1318,399,458,8,25,40,10,10,32,2,8,1,10
15,149,0,0,0,1,0,1,2,0,8,1052,337,402,5,27,50,20,20,37,7,16.66666667,0,0
16,159,0,0,1,0,1,1,3,1,5,779,434,500,3,98,126,7,7,33,1,4.344827586,1,11
17,172,0,0,0,1,1,1,4,0,6,807,354,393,13,60,100,10,10,30,10,9.090909091,1,10
