row_id,Row Id.,zip_convert_2,zip_convert_3,zip_convert_4,zip_convert_5,homeowner_dummy,#_children,income,gender_dummy,wealthy,hv,Icmed,Icavg,IC15,#_prom,RAMNTALL,MAXRAMNT,last_gift,total_months,time_lag,avg_gift,target_B,target_D
1,3,0,1,0,0,1,1,1,1,8,923,470,452,3,42,92,29,15,17,8,15.33333333,,
2,4,0,0,1,0,0,1,2,1,9,724,489,453,4,21,30,20,20,33,9,15,,
3,5,0,0,0,1,0,1,1,0,4,1153,412,376,10,61,220,35,25,31,9,24.44444444,,
4,1,0,0,0,0,1,1,4,0,1,551,263,283,21,32,41,19,19,31,13,13.66666667,,
5,4,0,0,1,0,1,1,7,1,9,2214,793,850,1,47,46,10,10,28,8,5.75,,
6,5,0,0,0,1,0,1,2,1,0,722,163,200,47,83,135,25,0,18,1,16.875,,
7,3,0,1,0,0,0,1,3,0,9,756,370,380,12,15,20,20,20,33,6,20,,
8,3,0,1,0,0,1,1,2,1,5,437,347,315,8,64,81,5,5,36,5,2.892857143,,
9,4,0,0,1,0,1,1,7,1,9,2267,1000,780,1,25,48,15,10,18,1,9.6,,
10,5,0,0,0,1,1,1,4,0,9,1678,343,404,6,12,15,15,15,33,6,15,,
11,5,0,0,0,1,1,1,7,1,9,1391,582,588,2,36,66,16,15,39,3,13.2,,
12,5,0,0,0,1,1,1,5,1,9,3214,615,602,5,49,83,17,17,36,4,9.222222222,,
13,5,0,0,0,1,0,1,2,0,9,0,140,151,53,27,55,20,20,30,10,18.33333333,,
14,2,1,0,0,0,1,1,4,0,5,790,335,343,9,59,574,40,20,31,2,27.33333333,,
15,4,0,0,1,0,1,1,5,1,8,1013,473,509,0,33,35,20,20,31,14,11.66666667,,
16,3,0,1,0,0,1,1,5,1,9,496,311,348,11,13,20,20,20,32,6,20,,
17,5,0,0,0,1,1,1,4,0,8,4799,652,595,4,87,604,30,0,18,6,19.48387097,,
18,4,0,0,1,0,0,1,3,1,4,293,184,194,35,33,37,15,15,30,23,12.33333333,,
19,3,0,1,0,0,1,1,5,0,9,585,397,418,4,23,26,16,16,36,9,13,,
20,5,0,0,0,1,1,1,4,0,9,2157,334,374,18,14,20,20,20,36,6,20,,
21,5,0,0,0,1,1,1,4,0,4,1900,399,493,4,67,109,15,15,31,15,10.9,,
22,3,0,1,0,0,0,1,2,0,9,548,333,319,20,15,20,20,20,34,6,20,,
23,5,0,0,0,1,1,1,1,1,1,700,203,217,28,35,45,25,25,39,8,15,,
24,1,0,0,0,0,0,1,3,1,9,1185,416,506,5,14,15,15,15,34,6,15,,
25,3,0,1,0,0,0,1,3,0,5,628,370,382,7,56,94,20,20,28,5,9.4,,
26,5,0,0,0,1,0,1,5,1,9,3621,578,577,6,102,202,14,13,17,11,10.1,,
27,5,0,0,0,1,1,1,1,1,2,469,248,254,20,77,167,12,11,39,6,8.35,,
28,5,0,0,0,1,0,1,4,0,4,839,290,285,12,37,46,24,24,33,23,15.33333333,,
29,2,1,0,0,0,1,1,7,0,9,929,423,335,9,68,190,25,22,31,4,15.83333333,,
30,5,0,0,0,1,1,1,5,0,6,2485,486,454,7,53,158,22,19,35,18,17.55555556,,
31,4,0,0,1,0,1,1,7,0,8,1413,563,600,2,47,140,45,45,32,9,35,,
32,2,1,0,0,0,1,1,7,1,8,640,399,409,4,58,115,20,10,29,6,8.214285714,,
33,2,1,0,0,0,0,1,3,1,9,758,242,290,26,13,15,15,15,30,6,15,,
34,4,0,0,1,0,1,1,5,1,9,861,481,491,3,24,35,25,25,30,13,17.5,,
35,5,0,0,0,1,1,1,1,1,2,611,253,271,24,71,134.07,16,10,30,4,8.379375,,
36,5,0,0,0,1,1,1,3,0,9,368,215,314,30,24,50,25,25,20,18,25,,
37,3,0,1,0,0,1,1,4,1,9,623,312,321,16,49,60,20,20,34,13,12,,
38,2,1,0,0,0,0,1,1,1,9,539,186,224,39,14,25,25,25,29,6,25,,
39,1,0,0,0,0,1,1,2,1,9,1814,369,308,6,33,55,25,15,31,23,18.33333333,,
40,2,1,0,0,0,0,1,2,1,1,500,205,228,39,59,91,21,10,33,14,13,,
41,2,1,0,0,0,1,1,2,1,9,726,250,278,24,34,165,30,20,29,4,18.33333333,,
42,5,0,0,0,1,1,1,4,0,4,1996,364,340,8,71,150,15,10,31,5,10,,
43,3,0,1,0,0,0,1,1,1,9,0,0,0,0,66,78,7,5,30,8,4.875,,
44,2,1,0,0,0,1,1,7,1,9,1635,684,714,1,62,190,25,25,31,13,23.75,,
45,5,0,0,0,1,1,1,4,0,9,1746,523,389,10,62,150,40,2,22,5,11.53846154,,
46,5,0,0,0,1,1,1,4,1,9,983,355,326,0,30,60,16,16,34,0,12,,
47,5,0,0,0,1,1,1,6,1,7,2320,519,495,4,48,80,20,20,30,8,16,,
48,4,0,0,1,0,1,1,4,1,6,455,299,284,21,48,107,20,20,38,2,15.28571429,,
49,5,0,0,0,1,1,1,4,1,8,2267,578,607,3,59,118,12,12,39,4,7.866666667,,
50,3,0,1,0,0,1,1,4,1,6,584,355,331,9,35,52,20,20,28,6,10.4,,
51,5,0,0,0,1,1,1,1,1,4,569,290,308,19,45,70,7,4,28,3,5.833333333,,
52,2,1,0,0,0,0,1,2,1,9,778,383,356,13,58,58,20,20,35,5,6.444444444,,
53,2,1,0,0,0,1,1,1,1,1,906,236,254,17,56,155,13,13,30,4,10.33333333,,
54,2,1,0,0,0,1,1,2,0,1,790,352,300,12,51,89,20,15,37,5,11.125,,
55,3,0,1,0,0,0,2,4,0,1,394,182,251,32,37,54,12,12,30,5,9,,
56,2,1,0,0,0,1,1,5,0,9,1651,471,429,9,108,169,11,5,18,13,6.259259259,,
57,5,0,0,0,1,1,1,4,0,7,1410,407,454,5,87,380,25,25,31,5,16.52173913,,
58,5,0,0,0,1,1,1,4,1,5,729,388,340,7,71,458,50,25,31,10,26.94117647,,
59,2,1,0,0,0,1,1,4,0,9,688,322,326,19,59,65,15,15,39,25,9.285714286,,
60,5,0,0,0,1,0,1,2,0,9,623,435,356,5,55,77,10,5,30,2,7,,
61,3,0,1,0,0,1,1,6,1,8,822,454,440,6,49,95,30,30,36,19,23.75,,
62,2,1,0,0,0,0,1,1,0,1,493,213,228,36,65,139,26,20,38,2,17.375,,
63,5,0,0,0,1,1,1,4,0,7,820,420,440,10,73,198,25,25,31,7,18,,
64,5,0,0,0,1,1,1,4,1,8,946,507,582,0,49,79,22,22,39,2,13.16666667,,
65,3,0,1,0,0,1,1,2,1,6,632,244,300,27,56,185,25,20,29,9,20.55555556,,
66,2,1,0,0,0,0,1,2,1,9,484,259,274,27,26,92,26,23,35,2,23,,
67,5,0,0,0,1,1,1,3,0,1,494,233,219,31,52,61,15,15,31,9,8.714285714,,
68,3,0,1,0,0,1,1,4,1,9,950,502,500,6,12,25,25,25,32,6,25,,
69,4,0,0,1,0,1,1,4,1,0,451,200,163,27,74,90.02,10,5,28,2,5.295294118,,
70,1,0,0,0,0,0,1,2,0,0,640,254,240,24,62,283,32,20,31,3,17.6875,,
71,4,0,0,1,0,0,1,2,1,9,1064,394,453,8,69,100,6,5,28,8,4.545454546,,
72,5,0,0,0,1,1,1,6,0,9,3185,788,714,0,28,59,20,20,28,8,11.8,,
73,2,1,0,0,0,1,1,4,1,9,628,257,279,17,31,50,35,35,31,12,16.66666667,,
74,5,0,0,0,1,1,1,4,1,3,1994,333,329,22,45,110,30,30,32,11,22,,
75,2,1,0,0,0,1,1,1,1,0,376,163,191,48,70,126,10,10,39,0,7,,
76,4,0,0,1,0,1,1,4,0,9,2035,609,568,3,35,55,15,14,30,6,11,,
77,1,0,0,0,0,0,1,1,1,3,2503,294,288,27,123,535,28,25,23,10,17.83333333,,
78,2,1,0,0,0,1,1,4,0,2,390,225,243,33,91,573.9,200,25,29,7,71.7375,,
79,2,1,0,0,0,0,1,1,1,4,769,298,273,20,65,117,15,15,40,6,9.75,,
80,2,1,0,0,0,1,1,4,1,2,803,338,338,15,73,162,15,10,23,4,9.529411765,,
81,4,0,0,1,0,1,1,6,1,9,932,383,390,13,27,29,15,15,29,8,9.666666667,,
82,5,0,0,0,1,0,1,2,1,9,1628,381,382,7,31,35,20,20,34,20,11.66666667,,
83,5,0,0,0,1,1,1,4,0,9,3377,536,444,7,14,28,28,28,30,6,28,,
84,4,0,0,1,0,1,1,7,1,9,961,493,640,2,50,61,15,15,37,13,12.2,,
85,4,0,0,1,0,1,1,3,0,9,491,250,254,31,21,35,30,30,28,17,17.5,,
86,5,0,0,0,1,0,1,1,1,1,0,0,0,0,77,128,15,15,30,13,8.533333333,,
87,2,1,0,0,0,0,1,2,0,6,770,374,391,15,81,121,10,10,35,1,4.033333333,,
88,2,1,0,0,0,1,1,1,1,9,878,280,268,15,37,72,15,15,32,2,10.28571429,,
89,4,0,0,1,0,1,2,4,1,9,881,405,394,9,24,40,20,20,37,8,20,,
90,4,0,0,1,0,1,1,6,0,4,512,261,284,26,48,136,16,16,28,6,11.33333333,,
