purchase,age,hair_color,US_region,validation,promotion_ord,gender_ord,residence_ord
0,25,Black,Southwest,1,1,0,1
0,30,Black,Northwest,1,0,0,1
0,45,Red,Northeast,1,0,0,0
0,35,Blond,Southwest,0,0,0,1
0,33,Brown,Southwest,0,1,0,1
0,35,Brown,Northeast,0,0,1,1
0,25,Black,Southwest,0,0,0,1
0,52,Brown,Southeast,0,0,1,1
0,21,Blond,Southwest,1,0,0,0
0,24,Blond,Northeast,0,0,1,1
0,48,Black,Southwest,1,0,1,1
0,22,Black,Southwest,0,0,0,1
0,27,Brown,Northeast,0,0,1,1
0,28,Black,Southeast,1,0,0,0
0,21,Blond,Southeast,1,0,0,1
0,51,Black,Northwest,0,1,0,0
0,23,Brown,Southeast,1,1,1,1
0,50,Blond,Southwest,1,0,0,1
0,51,Blond,Southwest,0,0,1,1
0,31,Black,Northeast,1,1,1,1
0,33,Brown,Northwest,1,0,0,1
0,30,Blond,Northwest,1,0,0,1
0,54,Blond,Southeast,1,0,0,1
0,24,Blond,Southwest,1,1,1,0
0,31,Black,Southeast,0,0,0,0
0,47,Blond,Southeast,0,0,0,1
0,22,Blond,Southeast,0,1,1,1
0,38,Brown,Northwest,1,1,1,0
0,26,Blond,Northeast,0,1,1,1
0,29,Brown,Northwest,1,0,0,1
0,29,Brown,Southwest,0,1,1,0
0,23,Black,Southwest,0,1,1,1
0,37,Brown,Northeast,0,1,1,1
0,43,Blond,Southeast,0,1,0,1
0,27,Red,Northwest,0,0,0,1
0,51,Brown,Northeast,1,0,0,0
0,40,Brown,Northeast,0,0,0,0
0,25,Black,Southwest,1,1,0,1
0,26,Black,Southwest,0,0,0,0
0,32,Blond,Southwest,0,1,0,1
0,59,Brown,Southeast,0,0,0,1
0,54,Brown,Northwest,0,1,1,1
0,30,Brown,Southwest,0,0,0,1
0,37,Black,Northwest,0,0,0,1
0,60,Blond,Southeast,0,1,0,1
0,45,Blond,Southwest,1,0,0,1
0,22,Brown,Northeast,1,0,1,0
0,51,Blond,Northeast,0,0,0,1
0,56,Black,Northwest,1,1,0,0
0,43,Brown,Northeast,0,0,0,1
0,58,Brown,Northeast,0,0,0,1
0,53,Brown,Southwest,0,1,0,0
0,53,Black,Southwest,0,1,0,1
0,46,Brown,Southeast,0,1,0,1
0,41,Brown,Southeast,1,0,0,1
0,28,Brown,Northwest,1,1,0,0
0,56,Blond,Northeast,0,1,0,1
0,32,Blond,Southwest,0,0,0,1
0,59,Blond,Northwest,0,1,1,1
