date,configuration,customer_postcode,store_postcode,retail_price,screen_size_in_inches,battery_life_in_hours,ram_in_gb,processor_speeds_in_ghz,integrated_wireless?,hd_size_in_gb,bundled_applications?,OS X Customer,OS Y Customer,OS X Store,OS Y Store,customer_store_distance
1/1/2008 0:01,163,EC4V 5BH,SE1 2BN,455,15,5,1,2.0,Yes,80,Yes,532041,180995,534057,179682,2405.873022
1/1/2008 0:02,320,SW4 0JL,SW12 9HD,545,15,6,1,2.0,No,300,No,529240,175537,528739,173080,2507.558574
1/1/2008 0:04,23,EC3V 1LR,E2 0RY,515,15,4,1,2.0,Yes,300,Yes,533095,181047,535652,182961,3194.001409
1/1/2008 0:04,169,SW1P 3AU,SE1 2BN,395,15,5,1,2.0,No,40,Yes,529902,179641,534057,179682,4155.202281
1/1/2008 0:06,365,EC4V 4EG,SW1V 4QQ,585,15,6,2,2.0,No,120,Yes,531684,180948,528924,178440,3729.298057
1/1/2008 0:12,309,W1B 5PX,SW1V 4QQ,555,15,6,1,2.0,Yes,120,Yes,529207,180969,528924,178440,2544.784863
1/1/2008 0:14,75,SE25 4LX,SE8 3JD,465,15,4,2,2.0,No,80,Yes,534575,168236,537175,177885,9993.157709
1/1/2008 0:17,346,N7 6AR,E2 0RY,450,15,6,2,1.5,No,40,No,530461,186176,535652,182961,6105.9566
1/1/2008 0:24,70,W3 7JT,SW18 1NN,455,15,4,2,2.0,Yes,120,No,520898,180071,525155,175180,6484.129086
1/1/2008 0:56,351,SW8 1RB,SW1V 4QQ,620,15,6,2,1.5,No,300,Yes,530298,177435,528924,178440,1702.322237
1/1/2008 1:00,209,SE26 5HB,CR7 8LE,465,15,5,2,2.0,Yes,40,Yes,535838,171458,532714,168302,4440.688235
1/1/2008 1:03,359,W1T 1DG,NW5 2QH,665,15,6,2,2.0,Yes,300,Yes,529584,181554,529248,185213,3674.39478
1/1/2008 1:05,300,TW9 3AH,W4 3PH,440,15,6,1,1.5,No,80,No,518891,177662,519585,177640,694.3486156
1/1/2008 1:07,363,N1 9DU,SW1V 4QQ,565,15,6,2,2.0,No,80,Yes,530451,183067,528924,178440,4872.459133
1/1/2008 1:15,22,N1 8LU,E2 0RY,405,15,4,1,2.0,Yes,120,No,531957,183906,535652,182961,3813.928421
1/1/2008 1:18,53,E14 0BB,SE8 3JD,480,15,4,2,1.5,Yes,120,Yes,538189,180731,537175,177885,3021.243453
1/1/2008 1:29,310,WC1X 0AE,SW1P 3AU,505,15,6,1,2.0,Yes,120,No,531065,182190,529902,179641,2801.779791
1/1/2008 1:30,314,N1 9BL,SE1 2BN,425,15,6,1,2.0,No,40,No,530520,183119,534057,179682,4931.869625
1/1/2008 1:32,320,WC2E 8RF,SE1 2BN,545,15,6,1,2.0,No,300,No,530351,180907,534057,179682,3903.211626
1/1/2008 1:32,299,SE1 3XB,SW1P 3AU,490,15,6,1,1.5,No,80,Yes,533256,179711,529902,179641,3354.730392
1/1/2008 1:40,205,EC3N 2AE,SE1 2BN,480,15,5,2,1.5,No,120,Yes,533409,180902,534057,179682,1381.413769
1/1/2008 1:42,216,E6 3BD,E2 0RY,535,15,5,2,2.0,Yes,300,No,541936,183350,535652,182961,6296.028669
1/1/2008 1:42,203,W1T 1HH,NW5 2QH,460,15,5,2,1.5,No,80,Yes,529654,181374,529248,185213,3860.408916
1/1/2008 1:53,209,SE26 4BG,CR7 8LE,465,15,5,2,2.0,Yes,40,Yes,534883,172132,532714,168302,4401.529393
1/1/2008 2:00,368,EC1R 0DY,NW5 2QH,595,15,6,2,2.0,No,300,No,531497,182177,529248,185213,3778.266401
1/1/2008 2:00,293,E6 1PW,SE8 3JD,530,15,6,1,1.5,Yes,120,Yes,541540,183278,537175,177885,6938.131881
1/1/2008 2:22,352,E2 0JD,SE8 3JD,570,15,6,2,1.5,No,300,No,535274,182846,537175,177885,5312.750888
1/1/2008 2:26,215,SE10 9NW,SE1 2BN,585,15,5,2,2.0,Yes,300,Yes,538670,178069,534057,179682,4886.874052
1/1/2008 2:29,347,SE1 9AA,SW1P 3AU,540,15,6,2,1.5,No,80,Yes,532585,180197,529902,179641,2740.004562
1/1/2008 2:31,340,W1H 1DG,SW1P 3AU,510,15,6,2,1.5,Yes,80,No,527601,181753,529902,179641,3123.32275
1/1/2008 2:43,151,EC4V 5BH,SW1V 4QQ,510,15,5,1,1.5,Yes,300,Yes,532041,180995,528924,178440,4030.349116
1/1/2008 2:59,344,E17 9NL,E2 0RY,590,15,6,2,1.5,Yes,300,No,537855,188970,535652,182961,6400.10078
1/1/2008 3:20,337,W1T 1NT,NW5 2QH,520,15,6,2,1.5,Yes,40,Yes,529506,181566,529248,185213,3656.114468
1/1/2008 3:23,293,E14 6JP,E2 0RY,530,15,6,1,1.5,Yes,120,Yes,537158,181278,535652,182961,2258.434192
1/1/2008 3:24,213,SE1 1TA,SW1P 3AU,525,15,5,2,2.0,Yes,120,Yes,532409,180083,529902,179641,2545.665532
1/1/2008 3:29,200,W1D 7HS,SW1V 4QQ,510,15,5,2,1.5,Yes,300,No,529524,180728,528924,178440,2365.363397
1/1/2008 3:47,152,E6 1PW,E7 8NW,460,15,5,1,1.5,Yes,300,No,541540,183278,541428,184515,1242.059982
1/1/2008 3:58,197,NW6 7JR,NW5 2QH,500,15,5,2,1.5,Yes,120,Yes,524885,184280,529248,185213,4461.642971
1/1/2008 4:05,9,WC1H 8BS,SW1V 4QQ,350,15,4,1,1.5,No,40,Yes,530217,182638,528924,178440,4392.613459
1/1/2008 4:07,217,SE25 4UF,CR7 8LE,445,15,5,2,2.0,No,40,Yes,534186,168354,532714,168302,1472.918192
1/1/2008 4:15,163,WC1N 3ES,SW1P 3AU,455,15,5,1,2.0,Yes,80,Yes,530712,181998,529902,179641,2492.297936
1/1/2008 4:16,19,SW1V 3AS,SW1P 3AU,435,15,4,1,2.0,Yes,80,Yes,529618,178286,529902,179641,1384.442487
1/1/2008 4:25,340,NW1 0JH,NW5 2QH,510,15,6,2,1.5,Yes,80,No,529174,183469,529248,185213,1745.569248
1/1/2008 4:25,16,SW1X 7BA,SW1V 4QQ,420,15,4,1,1.5,No,300,No,528450,179458,528924,178440,1122.942563
1/1/2008 4:52,80,W1D 3TA,NW5 2QH,495,15,4,2,2.0,No,300,No,529586,181258,529248,185213,3969.416708
1/1/2008 4:53,320,W1P 9LG,SW1P 3AU,545,15,6,1,2.0,No,300,No,529425,182049,529902,179641,2454.789808
1/1/2008 5:15,215,TW9 3AH,SW18 1NN,585,15,5,2,2.0,Yes,300,Yes,518891,177662,525155,175180,6737.805281
1/1/2008 5:26,167,KT6 4AG,SW18 1NN,535,15,5,1,2.0,Yes,300,Yes,517792,167537,525155,175180,10612.69136
1/1/2008 5:28,291,NW1 8QR,NW5 2QH,510,15,6,1,1.5,Yes,80,Yes,528830,184032,529248,185213,1252.790884
1/1/2008 5:32,218,SW4 7EX,SW1V 4QQ,395,15,5,2,2.0,No,40,No,529925,175086,528924,178440,3500.188138
1/1/2008 5:38,345,W1T 7QJ,SW1V 4QQ,500,15,6,2,1.5,No,40,Yes,529684,181654,528924,178440,3302.634706
1/1/2008 5:43,311,W1D 5BH,NW5 2QH,615,15,6,1,2.0,Yes,300,Yes,529752,180942,529248,185213,4300.634488
1/1/2008 5:46,175,SE1 1NA,SW1P 3AU,515,15,5,1,2.0,No,300,Yes,532684,180134,529902,179641,2825.344758
1/1/2008 5:47,1,E1 6NU,E2 0RY,370,15,4,1,1.5,Yes,40,Yes,533579,182085,535652,182961,2250.489947
1/1/2008 5:58,222,SW16 6LQ,SW18 1NN,455,15,5,2,2.0,No,120,No,529906,171537,525155,175180,5986.939953
1/1/2008 6:00,199,SW19 2BH,CR7 8LE,560,15,5,2,1.5,Yes,300,Yes,526682,170295,532714,168302,6352.7217
1/1/2008 6:08,7,W1T 1TA,SW1P 3AU,490,15,4,1,1.5,Yes,300,Yes,529444,181683,529902,179641,2092.732185
1/1/2008 6:22,301,W1P 5DA,SW1P 3AU,510,15,6,1,1.5,No,120,Yes,529226,182228,529902,179641,2673.86331
1/1/2008 6:24,159,N1 6BU,NW5 2QH,490,15,5,1,1.5,No,300,Yes,533016,182862,529248,185213,4441.286413
1/1/2008 6:24,317,E13 9AR,E7 8NW,535,15,6,1,2.0,No,120,Yes,541238,183958,541428,184515,588.5142309
1/1/2008 6:31,2,EC1R 3AN,NW5 2QH,320,15,4,1,1.5,Yes,40,No,531431,182157,529248,185213,3755.612467
1/1/2008 6:45,213,SW7 4SS,SW1V 4QQ,525,15,5,2,2.0,Yes,120,Yes,526296,178821,528924,178440,2655.474534
1/1/2008 6:49,163,NW5 1SP,N3 1DH,455,15,5,1,2.0,Yes,80,Yes,528771,186041,525109,190628,5869.481493
