month,Air RPM (000s),Rail PM,VMT (billions)
Jan-90,"35,153,577","454,115,779",163.28
Feb-90,"32,965,187","435,086,002",153.25
Mar-90,"39,993,913","568,289,732",178.42
Apr-90,"37,981,886","568,101,697",178.68
May-90,"38,419,672","539,628,385",188.88
Jun-90,"42,819,023","570,694,457",189.16
Jul-90,"45,770,315","618,571,581",195.09
Aug-90,"48,763,670","609,210,368",196.67
Sep-90,"38,173,223","488,444,939",178.07
Oct-90,"39,051,877","514,253,920",182.27
Nov-90,"35,699,216","516,429,873",171.23
Dec-90,"37,444,088","531,619,395",168.29
Jan-91,"34,848,290","496,467,387",157.88
Feb-91,"29,672,427","469,504,489",153.34
Mar-91,"36,202,993","587,905,914",179.06
Apr-91,"37,146,602","509,488,334",179.52
May-91,"38,869,421","566,342,448",191.91
Jun-91,"42,199,760","603,845,247",193.45
Jul-91,"45,384,965","633,450,001",198.37
Aug-91,"48,164,550","664,013,874",204.05
Sep-91,"38,481,957","494,557,648",183.58
Oct-91,"39,062,110","509,037,626",188.43
Nov-91,"34,688,141","472,359,118",169.68
Dec-91,"38,575,165","550,795,984",172.77
Jan-92,"35,265,807","493,541,137",167.89
Feb-92,"33,868,884","462,084,011",160.43
Mar-92,"39,724,539","559,205,172",184.03
Apr-92,"37,294,373","572,122,965",186.32
May-92,"39,728,367","546,043,825",196.99
Jun-92,"45,754,460","478,204,759",197.49
Jul-92,"50,807,813","610,774,196",206.88
Aug-92,"53,219,046","627,359,211",205.02
Sep-92,"41,564,915","516,516,158",191.16
Oct-92,"40,578,092","538,313,763",195.10
Nov-92,"36,863,415","539,769,246",177.62
Dec-92,"39,045,016","551,397,116",181.25
Jan-93,"37,911,556","500,349,189",171.66
Feb-93,"34,902,869","461,280,157",162.82
Mar-93,"42,058,882","534,476,186",187.84
Apr-93,"40,814,097","562,429,065",188.71
May-93,"42,133,943","554,039,017",205.95
Jun-93,"44,679,864","580,500,717",199.39
Jul-93,"48,622,037","586,861,727",209.81
Aug-93,"50,451,675","611,839,976",209.60
Sep-93,"41,677,832","501,353,952",193.74
Oct-93,"43,264,475","507,702,230",197.76
Nov-93,"38,868,799","489,299,178",182.30
Dec-93,"40,610,043","503,041,903",186.80
Jan-94,"38,863,562","472,917,856",169.31
Feb-94,"36,068,535","463,567,851",166.45
Mar-94,"45,433,842","572,167,273",196.19
Apr-94,"42,418,163","546,898,075",195.41
May-94,"44,297,210","524,008,197",206.60
Jun-94,"48,169,096","531,971,149",207.28
Jul-94,"52,410,979","578,257,564",214.78
Aug-94,"53,235,052","587,229,076",215.05
Sep-94,"44,677,623","490,032,783",200.51
Oct-94,"45,845,403","493,619,903",202.86
Nov-94,"42,230,318","477,594,716",190.07
Dec-94,"43,868,116","490,779,357",193.09
Jan-95,"42,050,940","425,207,429",183.62
Feb-95,"38,580,784","393,268,412",172.52
Mar-95,"47,390,145","489,360,683",202.41
Apr-95,"45,427,499","490,903,635",199.53
May-95,"45,915,722","511,120,586",213.56
Jun-95,"49,992,583","542,693,418",212.28
Jul-95,"53,345,749","571,259,638",217.72
Aug-95,"54,776,466","580,982,161",219.87
Sep-95,"45,589,237","451,385,426",204.32
Oct-95,"46,993,036","441,202,778",206.99
Nov-95,"43,703,386","435,470,011",195.41
Dec-95,"45,015,358","444,598,571",194.59
Jan-96,"42,734,234","362,022,328",183.74
Feb-96,"43,056,589","343,413,949",176.82
Mar-96,"51,646,570","416,042,895",204.47
Apr-96,"48,063,492","425,092,726",205.56
May-96,"49,808,809","467,573,082",219.00
Jun-96,"53,774,378","476,554,648",215.87
Jul-96,"56,576,582","525,954,361",225.44
Aug-96,"58,714,135","551,695,523",229.39
Sep-96,"47,857,913","412,344,840",207.91
Oct-96,"49,873,317","425,991,795",215.97
Nov-96,"44,696,485","389,249,720",199.94
Dec-96,"49,361,193","437,256,586",201.75
Jan-97,"46,692,784","337,798,678",190.13
Feb-97,"43,761,932","337,893,100",183.95
Mar-97,"54,755,166","416,925,515",211.95
Apr-97,"50,182,894","408,488,665",211.29
May-97,"51,979,543","444,032,624",226.08
Jun-97,"55,462,027","481,053,743",222.25
Jul-97,"58,771,317","540,293,509",236.71
Aug-97,"60,496,856","552,486,079",233.50
Sep-97,"50,076,953","425,814,893",213.55
Oct-97,"51,846,329","445,858,326",221.22
Nov-97,"47,743,798","441,249,575",202.42
Dec-97,"50,414,361","454,400,575",207.32
Jan-98,"47,290,992","371,355,589",196.87
Feb-98,"44,641,209","326,874,247",187.17
Mar-98,"54,453,961","426,172,239",214.22
Apr-98,"53,044,174","447,877,815",217.92
May-98,"54,302,581","462,341,914",227.90
