experience,training,completed_task
10.9,4,Yes
9.9,4,Yes
10.4,6,Yes
13.7,6,Yes
9.4,8,Yes
12.4,4,Yes
7.9,6,Yes
8.9,4,Yes
10.2,6,Yes
11.4,4,Yes
8.6,4,Yes
9.2,4,Yes
11.7,8,Yes
7.6,4,Yes
7.0,4,Yes
4.9,4,No
7.1,6,No
5.0,4,No
4.8,4,No
4.4,4,No
4.2,4,No
6.3,4,No
4.7,4,No
5.2,4,No
8.9,4,No
5.5,6,No
5.4,4,No
5.7,4,No
7.7,4,No
2.7,4,No
6.7,4,No
6.2,6,No
6.6,6,No
3.6,4,No
5.0,4,No
5.4,4,No
7.3,6,No
7.6,4,No
8.6,6,No
12.2,4,No
5.8,4,No
6.1,4,No
5.5,6,No
4.1,4,No
4.5,8,No
7.8,4,No
7.0,4,No
4.3,4,No
6.1,4,No
4.9,4,No
6.9,4,No
5.2,4,No
6.8,4,No
5.8,4,No
4.6,4,No
7.2,4,No
5.2,4,No
5.1,4,No
9.2,4,No
4.7,4,No
5.9,6,No
8.0,4,No
4.0,4,No
6.3,4,No
6.6,4,No
6.5,4,No
7.4,8,No
6.5,4,No
8.2,4,No
5.9,4,No
5.6,4,No
5.9,8,No
6.4,6,No
3.8,4,No
5.3,4,No
