sequence_number,US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,freq,last_update_days_ago,1st_update_days_ago,web_order,Gender=male,address_is_res,purchase,spending
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,1,0,1,1,128
2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2900,2900,1,1,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3883,3914,0,0,0,1,127
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,829,829,0,1,0,0,0
5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,869,869,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1995,2002,0,0,1,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1498,1529,0,0,1,0,0
8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3397,3397,0,1,0,0,0
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,525,2914,1,1,0,1,489
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,1,174
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,734,734,0,1,0,0,0
12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1275,1313,0,0,1,0,0
13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2802,2802,1,1,0,0,0
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2081,2438,0,1,0,1,1416
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1465,1465,0,0,1,1,192
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2523,2523,1,0,0,0,0
17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1801,1828,1,0,1,0,0
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3694,1,0,0,0,0
19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1879,1914,1,1,1,1,130
20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3120,3120,0,1,0,0,0
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2943,2984,1,0,0,1,386
22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1928,1983,0,1,0,1,161
23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,310,310,0,0,1,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1463,1486,0,0,1,1,174
25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3613,3655,1,1,0,1,131
26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2460,2732,1,0,0,1,189
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,3394,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,1569,1,0,0,0,0
29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,0,0,0,1,90
30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3744,3745,0,1,0,1,354
31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3090,3090,0,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2947,3171,1,0,0,1,352
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2123,2123,0,1,0,0,0
34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2905,2905,1,1,0,0,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,2005,0,1,1,0,0
36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1158,1502,0,1,1,0,0
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2478,3103,0,1,0,1,185
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1058,1058,0,0,0,0,0
39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1774,1774,0,0,0,0,0
40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3694,1,0,0,0,0
41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1752,1774,1,0,1,0,0
42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,0,1,0,1,34
43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1318,2310,0,1,1,1,161
44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,868,3138,1,0,1,1,639
45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2752,3914,0,1,0,1,638
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3338,3338,0,1,1,1,159
47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2905,2905,1,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1786,1822,0,0,0,1,41
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,316,316,1,1,0,0,0
51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2226,2899,0,1,0,1,232
52,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1920,1946,0,0,1,0,0
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,3573,1,0,0,1,1030
54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1822,1822,1,1,0,0,0
55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1170,1170,1,1,0,1,375
56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3157,3157,0,1,1,0,0
57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1856,2424,0,0,1,1,362
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2212,2212,0,0,0,1,95
59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3338,4127,0,1,0,1,109
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3367,3367,0,1,0,0,0
61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2957,3278,1,1,0,1,136
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,834,834,0,1,0,0,0
63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2908,3544,0,1,0,1,261
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,1,1,0,1,43
65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1408,3746,0,1,1,1,389
66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1835,2926,1,0,0,1,80
