total_value,tax,LOT_SQFT,year_built,gross_area,living_area,floors,rooms,bedrooms,full_bath,half_bath,kitchen,fireplace,remodel
344.2,4330,9965,1880,2436,1352,2,6,3,1,1,1,0,None
412.6,5190,6590,1945,3108,1976,2,10,4,2,1,1,0,Recent
330.1,4152,7500,1890,2294,1371,2,8,4,1,1,1,0,None
498.6,6272,13773,1957,5032,2608,1,9,5,1,1,1,1,None
331.5,4170,5000,1910,2370,1438,2,7,3,2,0,1,0,None
337.4,4244,5142,1950,2124,1060,1,6,3,1,0,1,1,Old
359.4,4521,5000,1954,3220,1916,2,7,3,1,1,1,0,None
320.4,4030,10000,1950,2208,1200,1,6,3,1,0,1,0,None
333.5,4195,6835,1958,2582,1092,1,5,3,1,0,1,1,Recent
409.4,5150,5093,1900,4818,2992,2,8,4,2,0,1,0,None
313,3937,5000,1960,2624,1485,1.5,6,3,2,0,1,1,None
344.5,4333,6768,1958,2844,1460,1.5,6,3,2,0,1,1,None
315.5,3968,5000,1889,2196,1290,2,6,3,1,0,1,0,None
575,7233,12288,2004,4616,2378,2,9,4,2,1,1,1,None
326.2,4103,5000,1954,2536,1272,1.5,6,3,1,1,1,1,None
298.2,3751,5000,1940,2129,864,1,7,3,2,0,1,0,None
313.1,3938,6949,1880,2612,1438,1.5,7,3,1,1,1,0,Old
344.9,4338,10000,1950,2099,1445,1,7,3,1,1,1,1,None
330.7,4160,5000,1910,2408,1470,2,7,3,1,0,1,0,None
348,4377,9001,1875,2840,1632,2,7,3,1,0,1,0,None
317.5,3994,4450,1920,1400,1232,2,7,3,1,0,1,0,None
330.8,4161,5000,1889,2560,1302,1.5,6,2,1,0,1,0,Recent
357.8,4501,12255,1944,2631,1275,1.5,6,3,1,1,1,1,None
414.7,5216,12972,1892,3796,2054,1.5,6,3,3,0,1,0,None
318.8,4010,4717,1900,2512,1371,2,7,3,1,1,1,0,None
346.2,4355,5000,1910,2655,1541,2,7,3,1,0,1,0,None
245.1,3083,4142,1880,1892,927,1.5,5,2,1,0,1,0,None
317.4,3992,5000,1910,2596,1244,1.5,7,3,1,0,1,0,None
247.3,3111,4012,1896,1994,1048,1.5,6,3,1,0,1,0,None
320.8,4035,13275,1910,1516,808,1.5,6,2,1,1,1,0,None
328.8,4136,4717,1906,2824,1469,1.5,6,3,2,0,1,0,None
293.6,3693,4289,1910,2286,1436,2,7,3,1,0,1,0,None
280.1,3523,10688,1890,3014,1625,2,7,4,1,0,1,0,None
342.5,4308,4717,1925,2802,1620,2,7,3,1,1,1,0,None
337.2,4241,5000,1920,3112,1906,2,9,4,2,0,1,0,None
336.5,4233,6842,1910,2269,1393,2,6,3,2,0,1,0,None
315.6,3970,6675,1945,2392,1394,1.5,6,2,2,0,1,0,None
296.5,3729,5683,1960,2982,1452,1,6,3,1,1,1,1,None
239.7,3015,5450,1963,2112,960,1,5,3,1,0,1,1,None
318.4,4005,4717,1915,3222,1803,1,7,3,1,1,1,0,None
431.5,5428,6733,1990,2880,1792,2,7,3,2,1,1,1,Old
349.8,4400,7242,1910,2496,1460,2,7,3,1,1,1,0,None
344,4327,5683,1940,3136,1870,2,9,4,2,0,1,1,None
358.3,4507,6138,1910,2500,1690,2,7,3,1,1,1,0,None
346.2,4355,11250,1900,2830,1391,1.5,6,3,1,0,1,0,Old
490.7,6173,5683,1995,4100,2640,2,6,3,1,1,1,1,Recent
371.9,4678,7001,1996,2320,1500,2,7,3,2,1,1,1,None
325.3,4092,4717,1910,2592,1572,2,7,3,1,1,1,0,None
340.5,4283,8489,1950,2368,1326,1.5,6,3,1,1,1,1,None
432.5,5440,7139,1996,2340,1500,2,7,3,2,1,1,0,None
334.7,4210,4584,1907,3288,1694,2,7,3,1,1,1,0,None
314.3,3953,7193,1900,2740,1508,2,7,3,1,0,1,0,None
405.5,5101,3867,1996,2431,1560,2,7,3,2,1,1,1,None
326,4101,4262,1960,2090,1300,2,7,3,1,1,1,1,None
285.6,3592,5325,1945,3060,1364,1,5,2,1,0,1,1,None
345.9,4351,8005,1900,2490,1562,2,7,3,1,1,1,1,None
317.3,3991,7234,1910,2289,1440,2,7,3,1,0,1,0,None
277.8,3494,5959,1940,2036,1018,1,5,3,1,1,1,1,None
306.8,3859,7785,1860,2038,1056,1.5,6,3,1,0,1,0,None
265.7,3342,3887,1950,2364,1075,1,6,3,2,0,1,1,Old
356.8,4488,5906,1967,2368,2051,1,8,4,1,1,1,2,None
299.9,3772,5401,1991,1800,1800,2,6,3,1,1,1,1,None
287.8,3620,3204,1991,1800,1800,2,6,3,1,1,1,1,None
296,3723,2947,1991,1800,1800,2,6,3,1,1,1,1,None
300.6,3781,4241,1991,1800,1800,2,6,3,1,1,1,1,None
566.3,7124,8249,2007,4390,2708,2,8,4,2,1,1,1,None
286,3597,7655,1910,3013,1318,1.5,7,3,1,0,1,0,None
351.2,4418,10000,1875,2232,1392,2,7,3,1,1,1,0,None
365.1,4592,5058,1910,3362,1763,2,8,4,2,0,1,0,Recent
330,4151,6330,1940,2644,1386,1.5,6,3,1,0,1,0,None
354.1,4454,4984,1940,2441,1464,2,7,3,1,1,1,1,Recent
335.8,4224,6111,1964,2262,1740,1,7,3,1,1,1,1,None
345,4340,20000,1900,1754,845,1.5,6,3,1,0,1,0,None
356.4,4483,5967,1942,3442,1836,2,8,3,2,0,1,0,Old
379,4767,7940,1900,3894,2436,2,8,4,2,0,1,1,None
352.1,4429,6003,1987,2178,1350,2,7,3,2,0,1,0,None
437.3,5501,7000,1997,2628,1680,2,6,3,2,1,1,0,None
404.2,5084,5488,1940,3780,1992,1.5,8,4,2,1,1,1,Recent
283.4,3565,4774,1940,3128,1470,1,5,2,1,0,1,1,None
326.4,4106,6029,1940,2620,1265,1.5,6,3,1,1,1,0,None
309.2,3889,5057,1948,2244,1224,1.5,7,3,2,0,1,0,None
332.9,4187,5682,1940,2484,1488,2,7,3,1,1,1,0,None
260.4,3275,3819,1930,2468,1299,1.5,6,3,1,0,1,0,None
339.3,4268,5651,1940,2454,1306,1.5,6,3,2,1,1,1,Recent
307.9,3873,5005,1928,2078,1369,2,6,3,1,0,1,0,Old
346.3,4356,8145,1940,2664,1546,1.5,6,3,1,0,1,1,Recent
479.1,6027,9642,1999,2952,1872,2,7,4,2,1,1,1,None
335.6,4221,6475,1946,2684,1265,1.5,6,3,1,1,1,0,None
261.5,3289,4175,1940,1536,768,1,4,2,1,0,1,0,None
355.1,4467,5400,1940,2650,1224,1.5,7,3,2,0,1,1,Recent
356.8,4488,5005,1996,2660,1680,2,6,3,2,1,1,1,None
287.3,3614,3288,1955,2764,1503,1.5,7,3,2,1,1,1,None
331.9,4175,5400,1940,2536,1224,1.5,6,3,1,0,1,1,None
387.1,4869,8238,1968,3972,1922,1,9,4,2,0,1,1,None
307.6,3869,5092,1945,2539,1306,1.5,6,3,2,0,1,0,Old
360.9,4540,5400,1950,2508,1440,2,6,3,3,0,1,0,Recent
466.1,5863,8970,1999,2952,1872,2,7,4,2,1,1,1,None
340,4277,5400,1940,2714,1376,1.5,6,3,1,0,1,1,Recent
303.9,3823,8200,1934,2608,1304,1,6,2,2,0,1,1,Recent
303.5,3818,4200,1960,2670,1710,2,10,4,1,1,1,1,None
301.4,3791,6444,1940,2886,1474,1.5,6,3,1,1,1,1,None
339.9,4275,5035,1925,3264,1523,1,6,2,1,0,1,0,Recent
281.3,3538,3960,1955,2590,1630,2,8,4,2,1,1,1,None
530.1,6668,6227,1999,4013,2359,2,8,4,2,1,1,0,None
310.4,3904,3150,1955,2456,1620,2,7,4,1,1,1,1,Old
344.6,4335,8151,1983,4532,2056,1,5,2,1,2,1,1,None
525.1,6605,6257,2001,4124,2494,2,9,4,2,0,1,1,None
285.3,3589,5024,1940,2556,1306,1.5,6,3,2,0,1,0,None
302.3,3802,4200,1930,2272,1352,2,8,3,1,0,1,1,Recent
243.3,3060,3150,1962,2496,1420,1.5,4,2,1,0,1,1,None
334.9,4213,6012,1910,3185,1911,2,7,3,1,1,1,0,None
327.5,4119,5968,1910,3216,1839,2,7,3,1,1,1,0,None
586.6,7379,8890,2001,4791,2774,2,9,4,3,1,1,1,None
347.3,4369,7355,1920,3516,1980,2,7,3,1,1,1,0,None
267.6,3366,5077,1956,876,876,1,5,2,1,0,1,0,None
274.2,3449,3617,1955,2784,1435,1.5,5,2,1,1,1,1,None
404.6,5089,6253,1959,3077,1989,1,6,4,3,0,1,1,Recent
339.9,4275,6300,1960,1730,1625,1,7,4,1,1,1,1,None
420.8,5293,7861,1967,4182,2888,1,12,4,2,1,1,0,None
283.5,3566,4200,1930,2488,1484,2,6,3,1,1,1,0,None
620.3,7803,6255,2001,6016,3446,2,10,4,3,1,1,2,None
346.3,4356,4050,1940,2756,1150,1,6,3,1,1,1,1,Recent
295.07,3711,5131,1945,1840,1486,1.5,6,4,2,0,1,0,Old
297.6,3743,3628,1962,2736,1680,2,7,3,1,1,1,1,None
310.7,3908,6001,1969,2124,2074,1,10,4,2,0,2,2,None
442.6,5567,4800,1999,3960,2282,2,6,3,2,1,1,1,None
277.5,3490,4050,1945,2108,1014,1,6,3,1,1,1,1,None
310.6,3907,3639,1955,2784,1421,1.5,7,3,1,1,1,1,Old
327.1,4114,6754,1960,2705,1340,1,6,3,1,0,1,1,None
307.5,3868,2100,1989,2244,1400,2,6,3,1,1,1,1,None
243.3,3060,4200,1955,2508,1120,1,6,3,1,1,1,1,None
352.8,4438,6001,1965,1964,1826,1,8,3,1,1,1,1,Recent
258.6,3253,5460,1950,2188,1080,1,6,2,1,0,1,1,None
295.5,3717,4050,1960,2592,1387,1.5,6,3,1,1,1,1,None
490.7,6173,6011,1999,4368,2483,2,9,3,2,1,1,1,None
330.3,4155,6317,1969,2385,1440,2,6,3,1,1,1,0,None
290.8,3658,6850,1958,2568,1414,1.5,6,2,1,1,1,1,None
350.7,4411,9600,1950,4063,1636,1,9,3,2,0,2,0,None
301.1,3787,6000,1965,2098,1696,1,7,5,1,1,1,2,None
278.7,3506,6400,1974,2161,1633,1,8,4,2,0,1,1,Old
298.2,3751,5824,1945,2696,1120,1,6,3,1,0,1,0,None
249,3132,4200,1950,1976,988,1,5,2,1,0,1,1,None
287.5,3616,6000,1965,2347,1781,1,8,4,1,1,1,0,None
434.3,5463,13267,1960,3813,1931,1.5,6,2,1,1,1,1,Recent
508.8,6400,3911,2004,3836,2416,2,7,4,3,1,1,1,None
338.8,4262,10537,1910,2100,1380,2,7,3,1,1,1,1,None
363.5,4572,7468,1972,2815,2035,2,10,4,2,1,1,0,Recent
335.3,4218,6400,1974,3404,2612,1,7,4,1,1,1,1,Old
353.5,4447,12600,1955,2910,1347,1,6,3,1,1,1,1,None
291.5,3667,6000,1971,2080,2028,1,8,4,1,1,1,0,None
325.8,4098,4900,1970,2835,1659,2,8,4,2,0,1,1,None
368.2,4631,7200,1900,3223,1669,2,7,3,1,1,1,0,Recent
361.7,4550,6000,1978,2530,1590,2,7,4,2,0,1,0,None
286.3,3601,6000,1965,2296,1781,1,8,4,1,1,1,0,None
315.7,3971,6400,1965,2198,1633,1,8,3,1,1,1,1,Old
282.4,3552,7770,1950,1800,900,1,5,2,1,0,1,1,None
337.5,4245,5914,1925,2594,1131,1,6,3,1,0,1,0,None
320.1,4026,5290,1950,2800,1824,2,7,4,2,0,1,0,Recent
272.9,3433,2800,1920,2663,1430,2,6,3,1,1,1,0,None
243.2,3059,4868,1950,1628,800,1,5,2,1,0,1,1,None
305,3836,7448,1984,2358,1306,1.5,8,3,2,0,1,1,None
277.7,3493,2800,1955,2324,1306,1.5,7,3,2,0,1,1,None
316.9,3986,4449,1910,2302,1208,1.5,6,3,1,2,1,0,Recent
297.1,3737,6000,1971,2456,1997,1,7,3,1,1,1,0,None
467,5874,4800,2003,3924,2206,2,9,4,2,2,1,1,None
302.4,3804,7440,1950,2040,900,1,6,3,1,0,1,0,None
253.2,3185,4200,1955,2507,1403,1.5,6,2,2,0,1,1,None
375.1,4718,6000,1978,2370,1590,2,7,4,2,1,1,0,None
242.9,3055,4151,1920,2068,1248,2,7,3,1,0,1,0,None
307.1,3863,6000,1965,2308,2009,1,9,3,2,0,1,0,None
274.1,3448,6781,1956,2064,1000,1,5,2,1,0,1,1,None
237,2981,3200,1911,1292,1020,2,6,3,1,0,1,0,Old
253,3182,6300,1964,2507,1155,1,6,3,1,0,1,1,None
299.4,3766,6081,1960,2212,1082,1,5,3,1,1,1,1,None
286.9,3609,7912,1955,1848,864,1,6,3,1,0,1,1,None
327.5,4119,6000,1980,2466,1590,2,7,3,1,1,1,0,None
367.5,4623,4895,1989,2728,1800,2,7,4,2,1,1,1,None
308,3874,5160,1920,2658,1452,2,7,3,2,0,1,0,None
516.7,6500,6000,2005,4623,2597,2,11,4,2,1,1,1,None
348.7,4386,7000,1986,2467,1954,1,9,4,2,0,1,1,None
367.1,4618,6750,1956,2216,1216,1,8,3,2,0,2,1,None
299.4,3766,3900,1920,3475,1754,2,7,3,2,1,1,0,Old
296.5,3729,7416,1960,2164,1082,1,6,2,1,1,1,0,None
360,4528,4544,1989,2704,1800,2,6,3,2,1,1,1,None
325.9,4099,3500,1960,2632,1632,2,6,3,2,0,1,1,Old
360.8,4538,6000,1978,2466,1590,2,7,4,1,1,1,0,Old
283,3560,3200,1965,2120,1410,2,7,3,1,1,1,1,Old
368,4629,2295,2002,2718,1728,2,7,3,2,1,1,1,None
297.8,3746,7442,1950,2438,1204,1,6,3,1,0,1,1,None
239.9,3017,2800,1955,2364,1306,1.5,7,3,1,0,1,0,None
293.7,3694,6548,1960,2164,1082,1,5,2,1,0,1,1,None
412.4,5187,6000,1993,2991,1680,2,6,3,1,1,1,1,None
382,4805,7300,1978,2524,1590,2,7,4,1,1,1,0,None
275,3459,4294,1965,2295,1470,2,7,3,1,1,1,1,None
318.2,4002,8001,1925,3228,1408,1,5,2,1,0,1,0,None
266.3,3350,6089,1960,2180,1082,1,5,3,1,0,1,0,None
282.2,3550,4392,1914,2773,1568,2,7,3,1,0,1,0,None
325.2,4091,5950,1962,2448,2293,1,8,3,1,1,2,0,None
287.8,3620,6750,1956,2060,960,1,6,3,1,0,1,1,None
354.2,4455,6000,1926,2936,1650,2,8,3,2,0,1,0,None
289.5,3641,4335,1965,2087,1326,2,7,3,1,1,1,1,Old
186.3,2343,4300,1920,1926,960,1,5,2,1,0,1,1,None
398.1,5008,7287,1999,2892,1800,2,6,3,2,0,1,0,None
283.5,3566,4824,1916,1795,933,1.5,7,3,2,0,1,0,None
254.5,3201,5095,1960,2184,1082,1,5,3,1,0,1,1,None
303.9,3823,6000,1940,1904,1228,2,6,3,1,1,1,0,None
262.1,3297,2100,1900,1800,972,1.5,6,3,1,1,1,0,Recent
273.1,3435,7258,1950,1992,900,1,5,2,1,0,1,1,None
210.9,2653,4281,1929,2047,900,1,5,2,1,0,1,0,None
272.4,3426,4416,1925,2413,1083,1,8,3,1,1,1,1,None
279.6,3517,6026,1960,2376,1487,1,9,3,1,1,1,0,None
348.9,4389,5300,1963,2616,1966,1,8,3,1,1,1,0,None
325.2,4091,6750,1950,2710,1305,1.5,6,3,1,1,1,1,None
323,4063,2100,1900,2414,1544,2.5,6,3,1,0,1,0,Recent
337.3,4243,6730,1963,2926,1871,2,7,3,2,1,1,0,Old
182.7,2298,1616,1920,1439,856,2,5,2,1,0,1,0,None
285.8,3595,5144,1963,2732,1539,1.5,6,3,1,1,1,0,None
259,3258,4200,1900,2962,1744,2,6,3,1,0,1,0,None
331.1,4165,5307,1960,2232,1726,1,8,4,1,1,2,0,None
329.2,4141,5663,1965,2212,1320,2,7,3,1,1,1,0,None
239.3,3010,3420,1918,2107,1310,2,6,3,1,0,1,0,None
272,3421,6073,1951,1928,900,1,5,2,1,0,1,1,None
207.9,2615,2968,1920,2027,938,1.5,5,2,1,0,1,0,None
294.4,3703,6750,1950,2216,1000,1,5,2,1,1,1,1,None
312.5,3931,6099,1960,2638,2156,1,6,3,2,0,1,0,None
401.7,5053,8056,2001,3156,1976,2,8,4,2,1,1,1,None
288.5,3629,3150,1900,2342,1467,2,7,4,1,1,1,0,None
305.4,3841,6291,1960,2126,1380,2,6,3,1,1,1,0,None
283.9,3571,4200,1915,2697,1552,2,7,3,1,0,1,0,None
272.2,3424,5507,1960,2592,1469,1.5,7,2,2,0,1,0,None
271.3,3412,5769,1960,2136,1487,1,6,2,1,1,1,0,None
300.2,3776,6444,1957,2808,1469,1.5,6,2,2,0,1,0,None
279.8,3519,6720,1960,2492,1246,1,6,3,1,0,1,1,None
509.4,6408,24677,1960,6100,2601,1.5,8,5,3,0,1,0,Recent
298.9,3760,7133,1950,2408,1008,1,6,3,1,0,1,1,None
325,4088,3850,1910,2235,1276,2,8,3,1,1,1,0,Old
356,4478,6750,1950,2526,1200,1,7,3,1,0,1,1,Recent
241.3,3035,3360,1920,2119,1105,1.5,6,2,1,1,1,0,None
314.3,3953,7109,1960,2239,1380,2,8,3,1,1,1,0,None
366.3,4608,6327,2001,3156,1976,2,7,4,2,1,1,1,None
323.1,4064,5643,1960,3048,1896,2,8,4,1,1,1,0,None
286.9,3609,6044,1957,2634,1469,1.5,5,2,1,0,1,0,None
293.2,3688,7408,1950,2459,984,1,5,2,1,1,1,1,None
293.8,3696,5835,1960,2680,1469,1.5,6,3,1,1,1,0,None
167.6,2108,1980,1900,1502,690,1,3,1,1,0,1,0,None
253.3,3186,3402,1924,2057,1350,2,6,3,1,1,1,0,None
269.3,3387,3850,1910,1816,1152,2,6,2,1,0,1,0,None
310.2,3902,7200,1909,2370,1364,2,5,2,1,1,1,0,None
217.9,2741,3360,1957,2160,1008,1,6,3,1,0,1,1,None
395,4969,4291,1990,2815,1684,2,6,3,1,1,1,0,None
298.5,3755,6514,1960,2118,1380,2,8,3,1,1,1,0,None
561.8,7067,9604,2006,3960,2455,2,8,4,2,1,1,1,None
220,2767,3205,1924,2117,1061,1.5,6,3,1,0,1,0,None
334.4,4206,7622,1940,2896,1510,1.5,6,3,1,1,1,1,None
331.2,4166,7796,1962,2760,1469,1.5,7,3,2,0,1,0,None
311.9,3923,6750,1950,2336,1140,1,7,2,2,0,1,2,None
286.3,3601,3628,1950,2232,1056,1,5,2,1,0,1,1,Recent
311.9,3923,13209,1950,2304,1075,1,6,3,1,1,1,1,None
144.6,1819,1017,1920,1293,797,1.5,5,2,1,0,1,0,None
292.5,3679,5602,1960,2643,1469,1.5,6,2,1,1,1,0,None
233.7,2939,3360,1950,2409,1008,1,6,3,2,1,1,1,None
287.8,3620,6000,1960,2116,1726,1,6,4,2,0,2,0,None
309.5,3893,5958,1960,2431,1560,2,6,3,1,1,1,0,None
278.4,3502,4343,1959,2064,912,1,6,3,2,0,1,1,None
222.4,2797,3850,1905,1832,1188,2,5,2,1,1,1,0,None
319.9,4024,6539,1943,3045,1712,1.5,8,1,1,0,1,1,Recent
306.5,3855,6021,1969,2092,1016,1,6,3,2,0,1,1,None
240.9,3030,3728,1920,1698,936,1.5,6,3,1,0,1,0,None
270.7,3405,5013,1900,2339,1497,2,6,3,1,0,1,0,None
314.2,3952,3486,1960,2344,1713,1,8,4,2,0,1,1,None
306.5,3855,6000,1967,1984,968,1,6,3,2,0,2,1,None
402.5,5063,5981,1950,3434,2369,2,9,4,2,0,1,1,Recent
358.4,4508,12853,1950,2329,1625,2,7,4,2,0,1,1,Recent
309.1,3888,6794,1959,2260,1577,1,8,3,1,1,1,0,None
348.9,4389,4311,1950,2972,1529,1.5,6,3,1,1,1,1,None
331.3,4167,8323,1960,2116,1966,1,8,4,1,1,2,0,None
562,7069,7682,2005,4184,2724,2,8,4,2,1,1,1,None
246.4,3099,3780,1950,2412,1008,1,6,2,2,0,1,1,None
298,3748,5931,1961,2912,1533,1.5,8,3,1,1,1,0,None
287.2,3612,6750,1950,2344,1000,1,5,2,1,0,1,1,None
279.4,3514,6540,1945,2304,1075,1,6,3,1,0,1,1,None
308.9,3885,13051,1942,2324,1075,1,6,3,1,0,1,1,None
273.6,3441,4200,1955,2428,1075,1,7,3,1,0,1,1,None
400.8,5042,4117,1992,2744,2079,2,7,3,2,0,1,1,None
338,4252,6000,1960,2244,2134,1,7,3,1,1,1,0,None
294.3,3702,4486,1950,2612,1378,1.5,6,3,1,1,1,1,None
357.7,4499,6057,1960,2636,1966,1,6,3,1,0,1,0,Recent
319.1,4014,4386,1950,2504,1313,1.5,7,3,2,0,1,0,None
206,2591,2436,1920,2476,1265,1.5,5,3,1,0,1,0,None
282.1,3548,4603,1910,2531,1426,2,7,3,1,1,1,0,Old
282.4,3552,5401,1960,2016,968,1,5,3,1,0,1,1,None
293.9,3697,5110,1950,2412,1306,1.5,6,3,1,1,1,1,None
322.4,4055,5981,1940,2504,1506,1.5,7,3,1,0,1,1,None
